ID	Name	avian-rep1	avian-rep2	avian-rep3	mock-rep1	mock-rep2	mock-rep3	reass-rep1	reass-rep2	reass-rep3	swine-rep1	swine-rep2	swine-rep3
gene-mRNA-HA	mRNA-HA	34225.3327604742	46335.66721518513	68699.51937819541	0.0	0.0	0.0	31424.48724776474	52152.86006426478	63395.25132383625	44055.93618537593	42139.70917669405	82126.64669596886
gene-mRNA-MP	mRNA-MP	50256.929862229736	67864.4222248619	72254.36944738927	0.0	0.0	0.0	13599.866694130846	21846.97441299428	24311.91979022243	25625.336507745393	27215.650776362058	39618.28356269531
gene-mRNA-NA	mRNA-NA	35418.02244946579	45826.87475964066	55127.60825661248	0.0	0.0	0.0	20365.936610338587	24294.25060377398	26213.93687709895	40302.28602260588	29066.34648459499	48686.30230074949
gene-mRNA-NP	mRNA-NP	35498.84428717179	43241.15762175323	55121.28116025969	0.0	0.0	0.0	22876.49345780457	33520.246550601034	34315.18546042927	69338.60343962077	66243.10141270328	142751.63385788165
gene-mRNA-NS1	mRNA-NS1	53098.22196603733	62916.94467585525	80290.4337836685	0.0	0.0	0.0	23080.265738731327	35791.16545084132	41011.104395230686	42750.23740920875	33643.85468737396	58821.08293170053
gene-mRNA-PA	mRNA-PA	46046.89682121242	67048.25261092429	74529.5520662141	0.0	0.0	0.0	70326.39024370149	87686.25180934943	83049.54938509356	74133.16595089226	38175.99596799565	65984.70190193442
gene-mRNA-PB1	mRNA-PB1	128757.52774600674	185839.907937857	175656.32133271557	0.0	0.0	0.0	45097.609217990655	78186.9512426226	72681.04970981285	115541.45002407167	60471.92740174028	135598.77943929794
gene-mRNA-PB2	mRNA-PB2	129364.1372354774	178610.79334554428	187766.738987587	0.0	0.0	0.0	115645.13901526085	124952.96680406563	129871.15660441345	156829.59691301294	78669.97283946873	174667.09548628112
gene-vRNA-HA	vRNA-HA	7479.275492377519	5997.246131948191	3376.9613072772063	0.0	0.0	0.0	45967.93493545103	39502.042957411235	30961.49529804995	19957.14107512998	21545.457366458475	6400.511102269582
gene-vRNA-MP	vRNA-MP	17160.023996401953	5869.313203306656	8998.387094464257	0.0	0.0	0.0	56748.18048607289	36489.94439962035	33450.68305664554	29726.659068391353	17977.960687531868	10809.317361745612
gene-vRNA-NA	vRNA-NA	3409.359222258126	1849.63308624993	1641.362324395387	0.0	0.0	0.0	17132.724054332484	9223.722060567463	9033.307498974476	6528.910558791952	5866.4538196464355	3731.0550352453515
gene-vRNA-NP	vRNA-NP	9652.27360244425	4582.5802558508785	4211.242763280452	0.0	0.0	0.0	46459.189821345826	34504.160905841876	37667.29589352324	13415.001445597054	12727.151870759759	1990.6737014642636
gene-vRNA-NS1	vRNA-NS1	13386.21719281675	5348.029679310354	5964.841319182117	0.0	0.0	0.0	54897.50984812874	28962.797780520013	26462.42912562705	10570.92793820746	7754.6358338067885	3939.914447774192
gene-vRNA-PA	vRNA-PA	2023.343567241868	1095.4789342839792	1068.5546395360443	0.0	0.0	0.0	37581.92577709235	21049.680806349348	26193.94222589027	5007.809763769628	6707.762862945612	3896.2134814310903
gene-vRNA-PB1	vRNA-PB1	1815.4322573074476	920.3599381195754	929.3361269628564	0.0	0.0	0.0	110701.34111166047	31803.15675258854	45999.96496670647	2948.6378945127167	6291.659908776947	1358.137066961797
gene-vRNA-PB2	vRNA-PB2	1631.3710950201043	933.6840052657147	958.5824963881787	0.0	0.0	0.0	13707.390784395126	7541.3341263805005	9505.454703546424	981.8468619333311	3022.4119097022035	435.13129329843974
