"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000130787",307.64062894558,-3.83254404019207,0.317870656222334,6.92375045230064e-35,9.58316300102932e-31
"gene-PA",55297.7049743216,-4.29455755864149,0.368183576141036,1.0118739578566e-32,7.00267372534659e-29
"gene-PB1",123264.002757031,-5.70104697785162,0.507190120266245,1.28289555843244e-30,5.91885247475447e-27
"ENSG00000204389",447.98877273678,-3.64711467075247,0.324679632169103,1.73705736608559e-30,6.01065275099765e-27
"ENSG00000197110",321.080653065587,-6.43462155514917,0.615277244574915,1.24295308643175e-26,3.44074273386037e-23
"ENSG00000183709",310.348614625077,-6.42201257631297,0.609614084823,1.5039078491344e-26,3.46926475664488e-23
"ENSG00000171522",81.5482431923681,-3.44600462886355,0.356283257123263,3.50753416301851e-23,6.93539719290559e-20
"ENSG00000198369",223.213583794661,-1.97274702997106,0.209532883930362,3.48173102078078e-22,6.02382988232835e-19
"ENSG00000197061",190.022723014485,2.72779102597407,0.29268656579606,8.54659285828825e-22,1.18293391751568e-18
"ENSG00000157350",151.553692420285,-1.99493471520247,0.212950821365405,7.69813935304789e-22,1.18293391751568e-18
"ENSG00000196526",249.295325988164,-3.22932717152388,0.349411107579033,3.50369696378944e-21,4.40860633416451e-18
"ENSG00000170445",217.382637960497,-2.17232813260706,0.242148197889946,2.09637173202281e-20,2.41799009524397e-17
"ENSG00000204388",216.19342453728,-3.60694138357738,0.413649949377242,1.3811710540477e-19,1.39469581781952e-16
"ENSG00000132002",1150.17119849268,-3.33922158432799,0.380979046708124,1.4107175384346e-19,1.39469581781952e-16
"ENSG00000188385",66.5818289288823,-3.17776013916218,0.362964825913473,5.05980852867357e-19,4.66885398969139e-16
"ENSG00000167779",99.6933577811995,-3.07677060686327,0.354480742721321,5.76846293339875e-19,4.99008096632325e-16
"ENSG00000138646",520.776064099889,-2.94119740142492,0.342805955116386,7.05574865856852e-19,5.744624540191e-16
"ENSG00000185507",288.593152601443,-2.43521157656229,0.285142350821531,1.05970533358555e-18,8.14854529008758e-16
"ENSG00000172216",171.122922426135,-2.14454434008466,0.258510942996332,1.13669953834894e-17,8.28055700541455e-15
"ENSG00000128342",247.240260763871,-2.25239507171176,0.272427705966931,1.91745881400557e-17,1.32697737223256e-14
"ENSG00000198042",304.760790824988,1.80340437356264,0.21973583489901,2.16622361268172e-17,1.42774766776799e-14
"ENSG00000120694",746.632986255335,-2.48982299655999,0.308322230913779,4.68904213144497e-17,2.95004691551499e-14
"ENSG00000125730",242.519860921547,-3.41266808902667,0.423572305810917,6.86677009964003e-17,4.13230282387468e-14
"ENSG00000204351",145.765383230955,-2.50370370763541,0.314707027103963,1.1803033353479e-16,6.8069076935626e-14
"ENSG00000206503",408.381383233664,-2.389186332867,0.300117278045702,1.43817440798452e-16,7.96230879236551e-14
"ENSG00000131459",97.0218895997647,-2.47133312176178,0.31053813414939,1.9201815908913e-16,9.84845667002864e-14
"ENSG00000171855",98.9612011746244,-6.71891734565291,0.841039472835877,1.92116415064499e-16,9.84845667002864e-14
"ENSG00000083844",131.426388615059,2.64117601809919,0.339506542712828,4.28126466771123e-16,2.1163208666354e-13
"ENSG00000101298",54.4714219415563,-4.37819941916086,0.547184127821098,7.87600430098476e-16,3.75902674241138e-13
"ENSG00000100697",316.126395689349,-1.84858258145087,0.239401933886646,1.02696938421705e-15,4.73809441564938e-13
"ENSG00000164754",531.950593372336,1.57829068160499,0.205087218140195,1.66949184559466e-15,7.45401181770185e-13
"ENSG00000023445",394.301601341257,-2.40048660865643,0.314077449913109,1.81466106063402e-15,7.61112840613196e-13
"ENSG00000079332",313.897450159385,-1.54753756501607,0.201070810217628,1.76693714372053e-15,7.61112840613196e-13
"ENSG00000271503",761.353366868127,-4.09095478260303,0.542088498471017,2.2350711284173e-15,9.09871161424231e-13
"ENSG00000140307",232.750102753267,2.19904826630089,0.295958609423893,8.07585299644364e-15,3.1936537521079e-12
"ENSG00000160953",111.244248590131,-2.56577180749579,0.344409670396079,1.01667116749575e-14,3.90881823036352e-12
"ENSG00000135250",136.769593589065,-1.49507271446512,0.199900900553232,1.13466604916087e-14,4.24457102336098e-12
"ENSG00000141068",69.5375318349113,-2.81176691252185,0.375428501704851,1.26008074291889e-14,4.5896783059843e-12
"ENSG00000115267",660.004029073875,-2.67509300052216,0.364106361858627,1.34536454039593e-14,4.65529765090501e-12
"gene-PB2",21445.9027058488,-3.01803445798634,0.412012321096246,1.33606731085562e-14,4.65529765090501e-12
"ENSG00000029993",247.745148538062,1.99096511774333,0.270095447142361,1.49314720124297e-14,5.04064644204974e-12
"ENSG00000137337",205.051657898318,1.59595756577932,0.216211097479944,1.64184481390843e-14,5.41066049269205e-12
"ENSG00000089902",176.19931727232,-1.4631502755484,0.19716178722129,1.91391342652459e-14,6.16057575268068e-12
"ENSG00000004478",442.122117809459,-1.7808796482002,0.242143393697156,1.99592716030648e-14,6.27855177859137e-12
"gene-HA",70476.9774872187,-2.68030950418199,0.368519189493683,2.13905581268031e-14,6.57926033406849e-12
"ENSG00000105372",1726.9370007328,0.998099655286404,0.134267020668264,2.44615674789953e-14,7.36027294514725e-12
"ENSG00000179119",179.806428578558,1.6643490872213,0.227488347742145,2.62677682248104e-14,7.73557829786384e-12
"ENSG00000168439",559.0376492681,-1.17494903833137,0.159849481996095,3.94972656777571e-14,1.13892011301216e-11
"ENSG00000134851",147.274707367151,-1.73947496480786,0.240214356922349,6.53062514999343e-14,1.84470168777671e-11
"ENSG00000108773",200.883174030427,-1.53408733222857,0.214987611870048,1.06927735365552e-13,2.95997357038921e-11
"ENSG00000163132",60.1747684724189,-3.05852249614893,0.429474847523408,1.2041707470327e-13,3.26802496268228e-11
"ENSG00000165312",107.436541722947,-3.33942503776546,0.477293532855586,1.26591242879687e-13,3.36951806288029e-11
"ENSG00000080824",3830.31292865114,-1.66993427345766,0.235232875168687,1.33160295288495e-13,3.47749367375105e-11
