"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000185745",1769.81351667976,-7.18108139685934,0.420156835370307,1.19550257090139e-66,1.91459736729857e-62
"ENSG00000157601",1291.28000303299,-9.0280972623106,0.614208319052976,1.14677840186427e-48,6.12188536861875e-45
"gene-NP",58632.2320634167,-20.6186876587666,4.04061235197199,1.09821322243668e-48,6.12188536861875e-45
"gene-HA",70476.9774872187,-17.6423161226009,1.3977229840303,1.77368961545438e-48,7.10140979787547e-45
"ENSG00000261716",196.933114425592,-4.22450581074431,0.301961423139923,7.46304708500393e-46,2.3557379542725e-42
"gene-NS1",29846.05114551,-20.0104450675264,3.98697313447663,8.82574319427723e-46,2.3557379542725e-42
"gene-M1",34836.7432648543,-19.9558864018505,3.98389919489825,3.1333603832829e-45,7.16868093403937e-42
"ENSG00000220323",106.534752366564,-3.80169505139884,0.272610225822895,3.83928049113568e-45,7.68575963319225e-42
"gene-PA",55297.7049743216,-18.9163898808987,3.87423584436642,3.61975616353826e-43,6.44115499545169e-40
"gene-N1",18720.543697548,-18.9425450473788,3.88401899434929,4.29058285320043e-42,6.87136843940049e-39
"ENSG00000100918",94.8886130608923,-5.57094562406226,0.412530187700014,5.88648247143404e-42,8.57018334363783e-39
"gene-PB2",21445.9027058488,-18.7380187263608,3.86283387616443,1.40009011417128e-41,1.86853693153775e-38
"ENSG00000135114",737.185125881703,-8.27634417406761,0.624838859124134,1.15320175301474e-40,1.420655851887e-37
"ENSG00000185507",288.593152601443,-5.38901930717976,0.409325584359361,2.7964449988298e-40,3.19893333258995e-37
"ENSG00000122257",631.733442437874,-2.58082575372303,0.198565724684311,1.63081601477151e-39,1.63234490478536e-36
"gene-PB1",123264.002757031,-18.7575965392522,3.87896498162576,1.55652446737222e-39,1.63234490478536e-36
"ENSG00000185880",157.209044297414,-3.65391160507346,0.284617785199083,7.04214120299463e-39,6.63411125682111e-36
"ENSG00000171931",91.8007825446266,-5.03632649130841,0.392967434471817,8.71777088293136e-39,7.75639448278587e-36
"ENSG00000130589",700.610065648011,-3.38498027964935,0.26662013367416,7.23105663717731e-38,6.09501958128392e-35
"ENSG00000147166",116.568784683083,-5.76686356528342,0.462579709548116,9.33571839453451e-37,7.47557650442351e-34
"ENSG00000279738",131.984098148071,-5.52806828657455,0.446277919606997,1.27504563284208e-36,9.72374086188856e-34
"ENSG00000196378",109.622298252391,-4.26683759211184,0.343472073439913,1.35618235126244e-36,9.87239107066726e-34
"ENSG00000172748",61.2607871374617,-5.18447813573632,0.417315781129059,1.73443688089936e-36,1.20769594120014e-33
"ENSG00000177576",146.884317662081,-6.07363500305886,0.492516750557115,6.89830524444446e-36,4.60318160374075e-33
"ENSG00000171747",58.2741829100421,-6.17790696528298,0.501619975105238,1.22682192522699e-35,7.85902125300412e-33
"ENSG00000280138",85.3786704370655,-5.22996657233949,0.428780848278641,2.56927455107553e-35,1.58257430521056e-32
"ENSG00000268403",63.8669792679548,-5.16890489205827,0.432998120360133,7.78041712500366e-34,4.61494000951606e-31
"ENSG00000205085",82.4223804421557,-7.20868538832264,0.603281999414022,1.53316388696435e-33,8.769149874905e-31
"ENSG00000179598",37.6013251934483,-3.82082974216665,0.32251447348565,2.19720390941305e-33,1.21338691756035e-30
"ENSG00000137628",190.520483347101,-3.16676891256953,0.266459903070555,2.32053935004389e-33,1.2387812563651e-30
"ENSG00000214756",85.510984593025,-4.15845807256329,0.356650161748644,1.29496270662987e-32,6.68994443441206e-30
"ENSG00000165923",159.594392082839,-5.31809189588285,0.456892298294405,1.47010760475168e-32,7.1344767545752e-30
"ENSG00000099860",260.69317805163,-4.2415723551715,0.36398129825999,1.46207636210551e-32,7.1344767545752e-30
"ENSG00000260368",67.5090324010111,-6.7271535555894,0.576458002508059,1.93248950740044e-32,9.10259395912295e-30
"ENSG00000256525",569.074187418114,-4.88627581731056,0.420559786930376,2.30581099780759e-32,1.05507323228253e-29
"ENSG00000261556",72.7026447621145,-4.41004239049774,0.381016693453386,3.73744916070257e-32,1.66264578635144e-29
"ENSG00000086730",78.2373463822159,-6.21408555051663,0.538124738266543,5.64789507823497e-32,2.44462269399819e-29
"ENSG00000198590",44.9443654212259,-5.07364752774303,0.440556862828802,9.94096743158878e-32,4.18959456360248e-29
"ENSG00000105523",131.735818043021,-7.84466978305494,0.676593555148684,1.41889659706567e-31,5.82657153897607e-29
"ENSG00000120738",361.694500919916,-6.42006878044719,0.56631611906135,4.17580993717258e-31,1.67188990359547e-28
"ENSG00000170836",243.58403776201,-3.10719990791119,0.273354186181417,5.6662064991096e-31,2.21327553861562e-28
"ENSG00000119917",1425.77944078261,-6.14275715742981,0.544072526103366,9.29998780871236e-31,3.54617392277449e-28
"ENSG00000130783",105.175570936746,-7.08077009375399,0.626802907855297,1.04183453894766e-30,3.88022793982482e-28
