"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000185745",1769.81351667976,-8.75372076548958,0.41877119587487,2.83734858488715e-98,4.54401375869677e-94
"ENSG00000185507",288.593152601443,-7.90332426118747,0.397734347566194,2.31918632691703e-88,1.85708845127881e-84
"ENSG00000130589",700.610065648011,-5.03570082901019,0.261916014775072,1.14645875514332e-83,6.12017898787341e-80
"ENSG00000138646",520.776064099889,-6.70745192811397,0.359165127365642,1.61872066185854e-79,6.48095284991611e-76
"ENSG00000137628",190.520483347101,-4.69792822915092,0.250481416520689,6.48527334605511e-79,2.07723305274145e-75
"ENSG00000115267",660.004029073875,-7.05222917752328,0.381815910419628,9.4875398145382e-78,2.53238250216382e-74
"gene-PB1",123264.002757031,-24.9690576258954,4.41298108134439,5.45006166013559e-70,1.24689624981531e-66
"ENSG00000135114",737.185125881703,-10.8618012101921,0.622115372896583,8.46127164577158e-69,1.6938408175879e-65
"gene-PA",55297.7049743216,-23.5939674018576,4.28338220579041,3.876536013273e-67,6.89808047250745e-64
"ENSG00000157601",1291.28000303299,-10.5091014918014,0.612955971551384,3.2159923151073e-65,5.15041169264434e-62
"gene-HA",70476.9774872187,-20.4473661576715,1.40810127724143,2.91527437404421e-64,4.24437446366528e-61
"gene-NP",58632.2320634167,-23.5180573391053,4.28885964859523,2.28986000924996e-63,3.05600900401151e-60
"ENSG00000087074",2688.22638518284,-6.15704327568911,0.374844167408522,6.66596303860402e-62,8.21195369717256e-59
"gene-PB2",21445.9027058488,-22.1024268826156,4.1615947129073,9.36043823496784e-58,1.07076727380721e-54
"ENSG00000119917",1425.77944078261,-8.55660657214067,0.540817842951324,1.118769647009e-57,1.19447305978994e-54
"gene-M1",34836.7432648543,-22.4971333043979,4.20510055831072,1.90007317394446e-57,1.78998069886592e-54
"gene-NS1",29846.05114551,-22.4247620622318,4.19665731039751,1.82225578223952e-57,1.78998069886592e-54
"ENSG00000118503",364.448416874446,-6.39156569903699,0.408436437603926,1.70637873472174e-56,1.51820307980937e-53
"ENSG00000171522",81.5482431923681,-5.04761387677949,0.321087926944665,7.51293028908809e-56,6.10975073071462e-53
"ENSG00000140853",188.549431532886,-4.76446628038516,0.304918346018834,7.63003525534139e-56,6.10975073071462e-53
"gene-N1",18720.543697548,-21.5457417469961,4.11580541169146,2.26322964691861e-54,1.72598203787627e-51
"ENSG00000163734",69.14927375144,-4.10285266081699,0.268187689522102,5.93860968264078e-54,4.32303791215873e-51
"ENSG00000107201",1050.02677734887,-5.3330588085132,0.349365461189349,6.80174744296899e-54,4.73608631735428e-51
"ENSG00000130787",307.64062894558,-4.42656785613681,0.293905924378195,2.08646291055798e-52,1.39227931302442e-49
"ENSG00000170581",492.562899402885,-3.27141047017752,0.226055055903407,1.72136180648686e-48,1.10270437323548e-45
"ENSG00000100906",848.85849406332,-4.16895401074058,0.295954238363935,3.13254721694134e-46,1.9295286030506e-43
"ENSG00000105939",1802.97368353923,-3.76182477546108,0.268854941273175,1.15430951011955e-45,6.84676548317207e-43
"ENSG00000119922",3255.43611637509,-10.2597545125539,0.749086136672527,5.66432629016561e-44,3.23979234060723e-41
"ENSG00000124201",888.278969814182,-3.30615396319158,0.240963137138262,8.12957507683327e-44,4.48948775363741e-41
"ENSG00000107968",178.527890404478,-3.845464951541,0.283353700373824,4.68014070764313e-43,2.49841511443016e-40
"ENSG00000138642",122.886932877512,-3.29805300854086,0.24316778711157,6.91119653076582e-43,3.57041330452305e-40
"ENSG00000138496",400.442426565898,-3.95958987884087,0.293117635159509,1.20014641739164e-42,6.0063577732897e-40
"ENSG00000141682",345.553684416114,-4.59863933700502,0.342189101686239,2.08961900903327e-42,1.01409843726266e-39
"ENSG00000172183",204.026655490339,-5.6569820249432,0.426065937223747,2.04339377356943e-41,9.62498567168071e-39
"ENSG00000126709",568.083863667034,-7.03651790712584,0.532810155704845,3.97118732180945e-41,1.8171018559651e-38
"ENSG00000125347",424.830235505183,-4.6868989739974,0.354790243487681,5.53654707399279e-41,2.4629944830554e-38
"ENSG00000214756",85.510984593025,-4.61286131577915,0.349499483145226,5.95798597112837e-41,2.57884176561138e-38
"ENSG00000198576",149.815032319361,-8.9347941573667,0.674384645466006,1.67711749325328e-40,7.06816754064507e-38
"ENSG00000163644",124.487005957242,-5.27941163681268,0.40867193274021,1.51276458707307e-39,6.21203201589108e-37
"ENSG00000271503",761.353366868127,-12.6150616661897,0.970952194095665,1.67829558299572e-39,6.71947594041911e-37
"ENSG00000068079",221.992245065912,-3.57334010825252,0.276796539398828,3.25967782367875e-39,1.27326195966378e-36
"ENSG00000105287",306.908644922497,-2.28767927499063,0.176753245248862,4.56231443122863e-39,1.73965394324111e-36
"ENSG00000285646",126.585544670109,-6.94066318298795,0.539838949129165,6.23112265637993e-39,2.32073091492848e-36
"ENSG00000059728",253.281244606234,-5.40749385452748,0.424238239407272,1.21082510840807e-38,4.40712820708073e-36
"ENSG00000135899",224.952669056066,-3.86889829515316,0.303160668578211,3.38725422736279e-38,1.20548614336033e-35
"ENSG00000147166",116.568784683083,-5.85272644414732,0.460062077342156,4.3825603051078e-38,1.52579789752829e-35
"ENSG00000163132",60.1747684724189,-5.51987115658206,0.433737533480772,4.92699685808842e-38,1.67884797196353e-35
"ENSG00000105559",268.055379794724,-9.86462020668099,0.786732428782138,4.80265137154038e-37,1.60238461906707e-34
"ENSG00000279443",122.611651786139,-5.07727335882116,0.406005918852835,5.85220569385144e-37,1.91271579973532e-34
"ENSG00000167604",119.082479393514,-5.24013084841391,0.421262662143322,1.09428246216528e-36,3.5049867263154e-34
"ENSG00000117036",255.508224917437,-2.83441946506272,0.227197407220189,1.17840349074432e-36,3.70041802044517e-34
"ENSG00000099860",260.69317805163,-4.497819946493,0.361883252193044,1.26074335385327e-36,3.8828470792231e-34
"ENSG00000185338",74.0498611686467,-7.13870028892954,0.578829534525674,2.95547395391751e-36,8.93055007018658e-34
"ENSG00000205413",587.765794926322,-4.88266736704423,0.397162404079893,6.11650742518426e-36,1.81399752619122e-33
"ENSG00000136826",284.558761064007,-5.33045275992982,0.433963623462849,8.33157323763365e-36,2.42600264364914e-33
"ENSG00000184557",211.404523461077,-3.81576170386394,0.312828467680494,1.93346284990182e-35,5.52935848949601e-33
"ENSG00000245848",72.2769124220867,-3.63986095314201,0.298108511627915,3.2622690629739e-35,9.16583141114508e-33
"ENSG00000168016",324.627799928882,-4.11032141060684,0.34181678293775,2.02205140237894e-34,5.58330227743081e-32
"ENSG00000287001",1857.68283510031,-10.3468757293178,0.869143933840124,4.49785113203486e-34,1.22089976067014e-31
"ENSG00000181381",472.032152556351,-4.15760135083869,0.349398353387385,1.11592469728811e-33,2.97858900451152e-31
"ENSG00000120738",361.694500919916,-6.6756608196618,0.565155857900493,1.52053051343935e-33,3.99201576602152e-31
"ENSG00000100918",94.8886130608923,-4.85880957889381,0.414646173206259,3.36475854958576e-32,8.69138841477677e-30
"ENSG00000279738",131.984098148071,-5.1387239103734,0.446218797352706,5.43112522479581e-32,1.38062651547786e-29
"ENSG00000105523",131.735818043021,-7.89423546817315,0.676146953910235,6.08284807370862e-32,1.52213768594443e-29
"ENSG00000104856",138.566957131199,-3.65349510474347,0.318460436757708,7.73064453722716e-32,1.90471188097989e-29
"ENSG00000056558",71.0239044765378,-4.86294397071856,0.426238501480353,1.76719054978894e-31,4.28811464467725e-29
"ENSG00000187608",253.522028670706,-6.8189729753895,0.600948592351381,7.09188367023491e-31,1.69517189520615e-28
"ENSG00000205085",82.4223804421557,-6.84382736267584,0.602995278287249,1.7937959853879e-30,4.22465333911577e-28
"ENSG00000111331",1416.21070045843,-3.33730112531577,0.296612124388142,1.96070373614052e-30,4.55082178757832e-28
"ENSG00000067066",375.092041842991,-2.75321438040111,0.244320140785223,2.2044614913178e-30,5.04349296906493e-28
"ENSG00000164442",149.225725353521,-4.03517398362157,0.361542721848311,3.02148646439912e-30,6.81536700385238e-28
"ENSG00000198435",62.0256125623088,-4.03760999509135,0.360616831633206,3.15414740294157e-30,7.01578759140406e-28
"ENSG00000112773",309.056799209362,-3.64809698464359,0.327955602095706,7.55076531516764e-30,1.65651378797822e-27
"ENSG00000108551",61.9775043836779,-6.78600940329119,0.617875442171474,8.02301150486427e-30,1.73633147635677e-27
"ENSG00000152778",251.50351015462,-2.82825187357873,0.253991531642597,1.02048843120541e-29,2.17908296343395e-27
"ENSG00000165949",145.797535842323,-8.17540281803028,0.734086537977312,2.28086811812073e-29,4.8063293304873e-27
