"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000185745",1769.81351667976,-8.40989871664813,0.418826990775883,5.54748877590656e-91,8.36727732069986e-87
"ENSG00000130589",700.610065648011,-4.68533041011864,0.261628448552159,3.29690681606528e-73,2.48636227533563e-69
"ENSG00000137628",190.520483347101,-4.219293186393,0.249521327582955,6.86712801673332e-65,3.45256306254629e-61
"ENSG00000185507",288.593152601443,-6.64285239017833,0.39855766846684,4.5208563324232e-63,1.70470190154848e-59
"ENSG00000157601",1291.28000303299,-10.2926845421761,0.612415119244847,7.22660189588002e-63,2.17997672791117e-59
"gene-HA",70476.9774872187,-18.3561960506752,1.40022498668315,2.78496068768267e-52,7.00092700871963e-49
"ENSG00000170581",492.562899402885,-3.30761422632502,0.225020339810755,2.85076063712476e-50,6.14257466996467e-47
"gene-PA",55297.7049743216,-20.2100056034995,3.98353771222687,2.95183640816222e-49,5.56531856803885e-46
"gene-M1",34836.7432648543,-20.5597698192199,4.02989125049708,5.05579068040617e-48,8.47294342584069e-45
"ENSG00000140853",188.549431532886,-4.36788186801332,0.304320209292018,8.2176025190439e-48,1.23946098794739e-44
"gene-NP",58632.2320634167,-20.3879694115987,4.01236342872039,1.21014454416346e-47,1.65932819632886e-44
"ENSG00000138496",400.442426565898,-4.1408730550128,0.291883931741496,5.61483231022563e-47,7.05737631126109e-44
"ENSG00000135899",224.952669056066,-4.21344805293651,0.300313751212136,7.30912841138269e-46,8.480275679145e-43
"ENSG00000119917",1425.77944078261,-7.54257716244505,0.541897427340209,2.01043152301527e-45,2.16595276154567e-42
"ENSG00000115267",660.004029073875,-5.32260242546484,0.383573937448798,2.65571531860643e-45,2.67041027670272e-42
"gene-N1",18720.543697548,-19.631479911606,3.93872333041007,3.27259748680447e-45,3.08503674334199e-42
"ENSG00000135114",737.185125881703,-8.42757774205244,0.622986573701439,2.23618419923966e-42,1.98402154571364e-39
"gene-PB1",123264.002757031,-19.4042879325468,3.92949565592294,2.66197097533637e-42,2.23058379005547e-39
"gene-NS1",29846.05114551,-19.1284053743264,3.89931357024266,6.52321990657072e-42,5.17840662372664e-39
"ENSG00000126709",568.083863667034,-6.8651723413332,0.53290559679624,2.82607472360783e-39,2.02979452648461e-36
"ENSG00000138646",520.776064099889,-4.64486847366919,0.361821401937212,2.80987881579248e-39,2.02979452648461e-36
"gene-PB2",21445.9027058488,-17.9308430237342,3.77862363502902,3.55438015858932e-38,2.43685072418194e-35
"ENSG00000107201",1050.02677734887,-4.37014579471801,0.350384135253308,4.23021673297185e-37,2.77410256449628e-34
"ENSG00000138642",122.886932877512,-2.96411464790896,0.241107629169534,4.57493165578145e-36,2.87515392350632e-33
"ENSG00000068079",221.992245065912,-3.27694381552262,0.276271568695939,7.10795027668394e-34,4.28836856092896e-31
"ENSG00000168016",324.627799928882,-4.01902340015553,0.34153682855274,2.56339814854328e-33,1.48706670286455e-30
"ENSG00000205413",587.765794926322,-4.44308267415781,0.397908338751741,2.57604839208683e-30,1.43905695917947e-27
"ENSG00000130813",143.338913617217,-3.47766626932573,0.312258115834103,3.3191757850946e-30,1.78796887023506e-27
"ENSG00000111331",1416.21070045843,-3.31335583788753,0.297217208005913,3.64358505924693e-30,1.89504115340074e-27
"ENSG00000138035",613.978645897017,-2.38606085037103,0.215431668537899,9.35509220442895e-30,4.70342852398006e-27
"ENSG00000181381",472.032152556351,-3.87228075501768,0.350021611102883,1.08505494495071e-29,5.27931733377145e-27
"ENSG00000168062",104.102418120327,-6.0311049442736,0.555147831908619,8.63535491083724e-29,4.07022056625494e-26
"ENSG00000119922",3255.43611637509,-8.15641881220826,0.752578775249524,1.05339380795891e-28,4.81464812286187e-26
"ENSG00000152778",251.50351015462,-2.70166213164538,0.253063563882287,6.43658526612461e-28,2.85538281085169e-25
"ENSG00000124201",888.278969814182,-2.56109221491718,0.242231292157443,1.98446194185418e-27,8.55189699113904e-25
"ENSG00000163840",568.685202699975,-3.58847549521051,0.341825714130395,4.42877594626102e-27,1.80538452966094e-24
"ENSG00000105287",306.908644922497,-1.85208965177666,0.176331016507589,4.33353822781094e-27,1.80538452966094e-24
"ENSG00000187608",253.522028670706,-6.27725265348413,0.60208282586095,1.35096401075771e-26,5.3622605721733e-24
"ENSG00000059378",165.511921817585,-3.69108889615618,0.358314249539445,3.51923306464298e-26,1.36104082856436e-23
"ENSG00000067066",375.092041842991,-2.48723312704012,0.244504523627134,1.20191244513762e-25,4.53211135250269e-23
"ENSG00000125347",424.830235505183,-3.61343507550638,0.357054688263375,2.07071098063653e-25,7.61769115144896e-23
"ENSG00000134326",173.013041469093,-8.21381527396034,0.80559945627129,5.03703000306363e-25,1.80889341752878e-22
"ENSG00000111335",514.07058717988,-11.1630657165266,1.09018980975224,2.31588563377004e-24,8.12337279398918e-22
"ENSG00000221963",488.798251222959,-4.03830907781479,0.427477025741176,1.68766365426242e-22,5.78523429482729e-20
"ENSG00000137965",127.031063569282,-8.17334861568444,0.850772791124846,1.87787992593558e-22,6.29423620508587e-20
"ENSG00000165949",145.797535842323,-6.89869219909196,0.736995653665465,1.28620380630526e-21,4.2173504370657e-19
"ENSG00000177409",240.215450511033,-5.14617162934217,0.564946000051238,3.80523788550243e-21,1.22115751121347e-18
"ENSG00000213928",55.9740405541554,-3.4232619673753,0.376199983835685,9.18508080170173e-21,2.88622028608473e-18
"ENSG00000173193",1336.77762945006,-3.37598475354394,0.375579550465312,1.29602609945443e-20,3.98937993021859e-18
"ENSG00000100918",94.8886130608923,-3.74815293148048,0.418844370399693,4.75273552172566e-20,1.43371019748376e-17
"ENSG00000271503",761.353366868127,-8.65201246622731,0.968714372069108,7.33846309304523e-20,2.17031448690983e-17
"ENSG00000163644",124.487005957242,-3.63435897693955,0.41548299157609,7.87341695147681e-20,2.28374515152163e-17
"ENSG00000121060",529.882314724653,-2.1604537054069,0.247212177294772,1.30152995001304e-19,3.70395778038616e-17
"ENSG00000188313",364.923709227131,-2.58451498756549,0.30230229769556,6.26769632949708e-19,1.75066043958897e-16
"ENSG00000101347",338.860791674922,-2.58457494945032,0.307068521846823,1.88765047466336e-18,5.17662401988135e-16
"ENSG00000287001",1857.68283510031,-7.33523686099644,0.877797799852283,2.33671422330148e-18,6.29368939822433e-16
"ENSG00000172183",204.026655490339,-3.62658600929157,0.433636464039862,2.61453157575285e-18,6.91841750124216e-16
"ENSG00000132109",133.198177436891,-2.9817620763283,0.367098965785202,2.189003317706e-17,5.69254086913096e-15
"ENSG00000152689",60.0368673509632,-4.12501769497649,0.507211970880739,2.63392282103811e-17,6.73346744232506e-15
"ENSG00000105559",268.055379794724,-6.45862670049717,0.794564575768773,3.54822306047976e-17,8.91964140353603e-15
"ENSG00000140464",189.8943621507,-2.94609247458984,0.366372660164548,4.01867158354294e-17,9.9366595892751e-15
"ENSG00000204642",79.6671767258569,-3.92451814724275,0.49056827578751,5.49547619981682e-17,1.33690754067479e-14
"ENSG00000121858",99.1902285033301,-6.30312549495189,0.770329135725872,6.9853291104735e-17,1.67237649163924e-14
"ENSG00000137959",95.7969622221815,-11.8326911531866,3.17591711781692,1.17925690965211e-16,2.77917687004418e-14
"ENSG00000128335",177.238598994974,-2.88733403426206,0.36702764144082,1.54518217505187e-16,3.5855358071242e-14
"ENSG00000132530",215.335254797078,-13.1085699211741,3.3851960763355,1.79362110233027e-16,4.09896774037082e-14
"ENSG00000089127",689.380862158589,-3.59990037676589,0.458372369271177,1.90742533851105e-16,4.29398453444211e-14
"ENSG00000055332",1027.24871221618,-1.81928008550904,0.234889266582134,5.43131687581111e-16,1.2047140064391e-13
"ENSG00000115415",1362.51130734954,-2.80503049983657,0.364268723771899,6.69802447196358e-16,1.46414932044387e-13
"ENSG00000285646",126.585544670109,-4.25685057759121,0.553721469822545,8.30693059419353e-16,1.78990620217459e-13
"ENSG00000108771",111.903653455307,-6.77105543584172,0.862817901583265,1.5271884977154e-15,3.24430762127343e-13
"ENSG00000078081",93.5735825792876,-7.74702087640826,1.02371847399521,3.52571399141815e-15,7.38588112952222e-13
"ENSG00000118503",364.448416874446,-3.10610333540571,0.41965840150242,5.75997222541251e-15,1.19010494624516e-12
"ENSG00000134321",227.142381820468,-11.862096701185,3.2581230763426,3.49768224537245e-14,7.12912720364224e-12
"ENSG00000068976",109.586593796702,-4.9023231375027,0.674689499719897,4.66094162296199e-14,9.3734643332181e-12
"ENSG00000184979",86.7044644365648,-3.39311364411221,0.479169598292168,6.48115109380682e-14,1.28625265720906e-11
"ENSG00000197110",321.080653065587,-10.6969256557931,3.05459304915216,8.57597676594994e-14,1.67988905923147e-11
"ENSG00000105402",138.403656803185,-1.22718750962245,0.174365340319498,1.32392695133344e-13,2.5601013085849e-11
"ENSG00000183709",310.348614625077,-10.5292119981542,3.03524072126743,1.94524356368286e-13,3.71393780645931e-11
"ENSG00000185338",74.0498611686467,-4.1415189811679,0.597778217207936,2.49455482846161e-13,4.70317130971081e-11
"ENSG00000182179",39.4169311444694,-5.4044747187496,0.7981805680375,5.53537425076419e-13,1.03074135585526e-10
"ENSG00000105523",131.735818043021,-4.78036314421825,0.692235094410844,6.04274197349078e-13,1.11149606324587e-10
"ENSG00000185880",157.209044297414,-1.9657144447038,0.291824400365662,8.08698725348939e-13,1.46959070776362e-10
"ENSG00000162654",248.769619010426,-12.0211082510154,3.34296926513866,9.07391181368467e-13,1.62930728435483e-10
"ENSG00000155363",162.247911955035,-1.44716098887612,0.215297469256317,1.04878313251425e-12,1.86103482208382e-10
"ENSG00000122643",347.005465033577,-2.55294216113447,0.385338298079056,1.67122169033954e-12,2.93105078551061e-10
"ENSG00000120738",361.694500919916,-3.80210793156297,0.579155836265566,2.0433515748592e-12,3.54251400041395e-10
"ENSG00000112343",204.063455172421,-2.03386733347293,0.309740776332595,2.58605921790631e-12,4.43244672541829e-10
"ENSG00000060491",198.025264187835,-2.11267168926572,0.322225510598648,2.83752385728918e-12,4.80880588084188e-10
