"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000171522",81.5482431923681,-3.81315900274721,0.320651141904354,5.56036914592504e-34,8.21433333927507e-30
"ENSG00000130787",307.64062894558,-3.45021127278697,0.296382662597064,1.0077803613515e-32,7.44396963912287e-29
"ENSG00000198576",149.815032319361,-5.00950029867703,0.456327442933145,8.13915412292095e-30,4.00799079526371e-26
"ENSG00000087074",2688.22638518284,-4.03081575431697,0.374732034141603,2.89680905961138e-28,1.06986400594097e-24
"ENSG00000163734",69.14927375144,-2.69556088271139,0.259200220558806,2.24309855974534e-26,6.62745900462359e-23
"gene-PB1",123264.002757031,-5.0855848889241,0.50797800642643,6.74544763970979e-25,1.66084163302388e-21
"ENSG00000198369",223.213583794661,-1.8984847292916,0.19319483310027,7.33724289983812e-24,1.54847270513298e-20
"ENSG00000157350",151.553692420285,-1.83672241013848,0.188436872527203,1.67414780301735e-23,3.09152318674692e-20
"ENSG00000245848",72.2769124220867,-2.88648630557379,0.309919859929704,6.02503691092678e-22,9.88976336501349e-19
"ENSG00000100906",848.85849406332,-2.74531004659504,0.296762489919318,1.42256459434868e-21,2.10155467523131e-18
"gene-PB2",21445.9027058488,-3.77274286986265,0.409783893884141,1.82610954248383e-21,2.45246511555579e-18
"ENSG00000279443",122.611651786139,-3.56053315149181,0.400047008582637,1.92087466007976e-20,2.36475677944653e-17
"ENSG00000118160",49.0081828615295,-3.63022959112636,0.409015865628676,4.22677586468201e-20,4.80324306530365e-17
"ENSG00000182759",64.3400263742471,-4.93657602074195,0.569359747292528,9.12122415749302e-20,9.62484603418889e-17
"ENSG00000214756",85.510984593025,-2.85661508309444,0.332288219235223,3.75090574938758e-19,3.69414204238019e-16
"ENSG00000198435",62.0256125623088,-3.20679853977486,0.372077894308564,4.1610350056073e-19,3.84193563361479e-16
"ENSG00000167780",55.5217874646577,-5.02300232940364,0.59329390612191,4.98594626089574e-19,4.3327873007184e-16
"ENSG00000107968",178.527890404478,-2.41426752621196,0.282085777342508,7.29744605726477e-19,5.98917614466513e-16
"ENSG00000270379",141.193485621317,-5.2813823122792,0.630587051743245,1.23223689319701e-18,9.58096611747341e-16
"ENSG00000105327",95.5628684967288,-3.26889736320102,0.386419031269745,1.39129481514767e-18,1.02767991520883e-15
"ENSG00000167604",119.082479393514,-3.41645508476739,0.412158373982428,4.02953189241172e-18,2.83467974507611e-15
"ENSG00000129757",32.1849899667762,-4.98725274435602,0.597309476937504,4.46688211590282e-18,2.99951134082874e-15
"gene-PA",55297.7049743216,-3.06775624873502,0.369896367483822,6.50243079538528e-18,4.17653957131421e-15
"ENSG00000183709",310.348614625077,-4.38269002947263,0.539345970472198,1.77707587138619e-17,1.09386424366618e-14
"ENSG00000183765",90.0587022077327,-2.21132512290635,0.271070440565007,2.50683711804959e-17,1.48134018979786e-14
"ENSG00000188613",28.8363758447809,-4.36917639373139,0.534313859389265,2.80934443493286e-17,1.59624789758704e-14
"ENSG00000106993",75.9560669131523,-2.11298320448476,0.259443749049688,3.10418545217655e-17,1.69844932166682e-14
"ENSG00000117036",255.508224917437,-1.8661037907842,0.2294582254682,3.70191707680482e-17,1.95315789198706e-14
"ENSG00000118503",364.448416874446,-3.1368983820463,0.391764557758399,6.3106687634991e-17,3.19889965012978e-14
"ENSG00000125730",242.519860921547,-3.29716194860628,0.412103771439549,6.4961070536718e-17,3.19889965012978e-14
"ENSG00000135250",136.769593589065,-1.42609587264317,0.176996512263719,9.88668435198421e-17,4.60590393715407e-14
"ENSG00000240023",46.9503646335999,-4.62758279075491,0.588656297459263,9.97691233933054e-17,4.60590393715407e-14
"ENSG00000197110",321.080653065587,-4.27896635012774,0.540818756990419,1.06244461245147e-16,4.75621038174109e-14
"ENSG00000056558",71.0239044765378,-3.27031461257518,0.416978590830426,1.69330581212911e-16,7.35741375370099e-14
"ENSG00000105939",1802.97368353923,-2.11940484586946,0.270045714128765,3.52688663170263e-16,1.48864846314694e-13
"ENSG00000171855",98.9612011746244,-4.49756902636914,0.587783453844736,5.32023907436406e-16,2.18321921793278e-13
"ENSG00000131459",97.0218895997647,-2.14300177686399,0.277740147324789,9.04722546987962e-16,3.61228815855491e-13
"ENSG00000108551",61.9775043836779,-3.76927511824466,0.498535708168169,1.23422501342595e-15,4.79821213772146e-13
"ENSG00000141682",345.553684416114,-2.59730055345607,0.340358335424342,1.2915713515748e-15,4.89240604533705e-13
"ENSG00000205085",82.4223804421557,-3.21927229587944,0.424149506069292,1.46182926864783e-15,5.3989009464336e-13
"ENSG00000164442",149.225725353521,-2.7541607831684,0.361783538492576,1.53677438699775e-15,5.53726049246774e-13
"ENSG00000170445",217.382637960497,-1.70035334539505,0.222282564007014,2.15900649425389e-15,7.59404831895541e-13
"ENSG00000136826",284.558761064007,-3.24369233314922,0.430458399431846,2.47922664219539e-15,8.51758492677967e-13
"ENSG00000267270",65.5316063254445,-4.07992644631017,0.54665494621339,2.71148175471251e-15,9.10379999144726e-13
"ENSG00000124145",168.050358272184,-1.87430758334999,0.247180216557396,2.82017017252838e-15,9.25830532416928e-13
"ENSG00000140379",24.1192171021827,-4.07716758204783,0.54232762394259,3.6765857144978e-15,1.18074349478861e-12
"ENSG00000130783",105.175570936746,-3.88160728827309,0.521695674384997,3.77806885917017e-15,1.18751938843662e-12
"ENSG00000123080",97.6632779242891,-2.08082749362029,0.275844680919627,4.07184777517385e-15,1.25319598297173e-12
"ENSG00000165312",107.436541722947,-3.31538811073563,0.449503514684292,6.88975593412137e-15,2.05320293247931e-12
"ENSG00000111642",66.6336085891433,-2.19380232918981,0.294256525219877,6.9491739405649e-15,2.05320293247931e-12
"ENSG00000129521",141.367640261673,-3.07800437119927,0.420653988283731,1.20292603070387e-14,3.48447573560556e-12
"ENSG00000256453",20.0322931017515,-4.09018853223431,0.545399881729877,1.33394652751711e-14,3.78969077904044e-12
"ENSG00000174804",95.6458449553042,-3.41227990792102,0.471052282774507,1.77802796798993e-14,4.95600135304061e-12
"ENSG00000269821",171.105970846196,-2.085012888322,0.287855720041596,3.48687576451983e-14,9.53918808689842e-12
"ENSG00000216775",34.124238036369,-2.8815299066187,0.403481608946016,7.47981772889963e-14,2.00907904198244e-11
"ENSG00000130821",60.9589931760633,-2.44808502574588,0.347723732649423,9.57445182353327e-14,2.52577458551888e-11
"ENSG00000147166",116.568784683083,-2.82271680357866,0.404446173136927,1.51287252189226e-13,3.89146132989356e-11
"ENSG00000271503",761.353366868127,-3.75005750233598,0.537579107765256,1.52781938085579e-13,3.89146132989356e-11
"ENSG00000152518",342.408900226139,-1.7449604252802,0.248639070459737,2.29683520436359e-13,5.75104177526498e-11
"ENSG00000279738",131.984098148071,-2.91381292562366,0.422049205222171,2.54172147477348e-13,6.25814189113811e-11
"ENSG00000198805",271.471196092798,-1.3965202960139,0.198527761684772,2.72104057086024e-13,6.58982497595381e-11
"ENSG00000110422",409.685309706353,-1.24117276756998,0.175675938185013,2.823013303771e-13,6.72651218332404e-11
"ENSG00000169245",77.0806976357339,-4.28854950132972,0.636011150092887,5.15932622335255e-13,1.20982105234265e-10
"ENSG00000185338",74.0498611686467,-2.81087912877677,0.412692627090214,5.29375754173019e-13,1.22194812756219e-10
"ENSG00000079332",313.897450159385,-1.31772503052809,0.189718572579429,6.21631506010269e-13,1.41282495973688e-10
"ENSG00000127528",30.8797356181702,-2.37075151022258,0.347757370577698,6.46681543236301e-13,1.44748885427725e-10
"ENSG00000078098",77.3054476491288,-4.08580501131227,0.614331650811392,1.02436733640211e-12,2.25865353144303e-10
"ENSG00000229677",23.9921556536601,-3.86507708893493,0.575341719393703,1.04294263293666e-12,2.26579287005489e-10
"ENSG00000104808",32.4751274372591,-3.80031114225758,0.572621739488017,1.1152541783558e-12,2.38777535896381e-10
"ENSG00000128917",31.6351907629528,-3.99333856272137,0.599869119541387,1.14236777276736e-12,2.41088558672745e-10
"ENSG00000205903",102.532463698576,-1.36866719206692,0.200749194869864,1.38749481503929e-12,2.8869663243064e-10
"ENSG00000163132",60.1747684724189,-2.52073426947407,0.378319675007617,1.61590861328901e-12,3.31553027001647e-10
"ENSG00000138650",44.5731228122783,-2.89692934575935,0.435966483412353,1.77083897720649e-12,3.58364441236596e-10
"ENSG00000130518",42.8774251782835,-2.5835178110656,0.388991756172366,1.86598296838395e-12,3.7251576205319e-10
"ENSG00000169252",19.2666182729685,-4.04180140829585,0.609638514548991,2.54222813493597e-12,5.00517895338276e-10
"ENSG00000104856",138.566957131199,-2.08461213663842,0.314525488222112,2.57492452756441e-12,5.00517895338276e-10
"ENSG00000256152",28.2728579901314,-4.24623736929621,0.656563299298655,3.01575162290509e-12,5.78593489937363e-10
"ENSG00000059728",253.281244606234,-2.72079351470415,0.415306093641455,3.35235871216459e-12,6.34928144292403e-10
"ENSG00000115844",27.1378804810715,-3.50749477262477,0.530858374807274,3.62016008161795e-12,6.76969935262556e-10
"ENSG00000054967",51.3462498942084,-1.88920142313949,0.288117411420377,4.43295937547342e-12,8.1860136067336e-10
"ENSG00000196378",109.622298252391,-2.27484766774508,0.348153190663786,4.79030746452777e-12,8.73669286092206e-10
"ENSG00000126803",221.820915894311,-2.09700651078071,0.321095783657971,5.28779844693042e-12,9.52642029957354e-10
"ENSG00000223773",39.4787713320033,-3.17537077271976,0.493896607521158,5.63759072197118e-12,1.00342322573109e-09
"ENSG00000122644",101.273644076777,-1.80418622410058,0.275883093230398,5.78490504793738e-12,1.01738574134737e-09
"ENSG00000231416",51.9517396703772,-4.05968993110682,0.637970467840562,7.64118038125727e-12,1.32803715026251e-09
"ENSG00000172216",171.122922426135,-1.54234369495243,0.236893465313026,8.57276299632242e-12,1.47262125284501e-09
"ENSG00000188385",66.5818289288823,-1.71874384811162,0.266564253153189,1.20906648998381e-11,2.05305048925642e-09
"ENSG00000151014",104.761226731876,-2.25810481891103,0.353926510302415,1.23160583455449e-11,2.06755829475835e-09
"ENSG00000285829",20.4983290143799,-3.99127683279906,0.627691225396188,1.2813924528188e-11,2.11561886279041e-09
"ENSG00000260366",19.8170154473288,-4.32550895465012,0.668622258312712,1.28887631253731e-11,2.11561886279041e-09
"ENSG00000089902",176.19931727232,-1.1541193778693,0.176824068492859,1.3096393265966e-11,2.1260771177815e-09
"ENSG00000184619",36.0464857200747,-3.27743932687282,0.515286739021359,1.47564521548684e-11,2.3695333443899e-09
"ENSG00000180573",170.991712659688,1.3396232869245,0.207091505401969,1.67834036777587e-11,2.66603465087666e-09
"ENSG00000108828",167.668677355257,2.16069478758474,0.339539592065057,1.85081754223274e-11,2.90792800022441e-09
