ID	mock-reass	avian-reass	mock-avian	avian-swine	mock-swine	swine-reass
gene-mRNA-HA	1.86189340954971e-55	0.734951486898103	6.23719477707963e-57	0.622599174614013	6.00325154919043e-55	0.955083483623589
gene-mRNA-MP	2.3921992335048e-48	0.000675802391652639	3.20439523014721e-58	0.00279737016702913	1.35643563623658e-49	0.688399393922676
gene-mRNA-NA	2.06338706299754e-53	0.0678565986234729	2.09306991275377e-59	0.231135298933403	1.36845256767489e-55	0.543326269002507
gene-mRNA-NP	5.01620084310978e-51	0.279677612966052	4.49531828842605e-55	0.47646436137153	4.63148713281057e-58	0.0583051684261056
gene-mRNA-NS1	1.10886154795761e-50	0.0622220870028726	8.55713063004925e-57	0.0723162310968152	4.00620447469e-51	0.875260276933416
gene-mRNA-PA	2.08055582630297e-66	0.914969257661581	2.60903414121052e-65	0.289365008390757	1.40901117144985e-61	0.259121219089608
gene-mRNA-PB1	5.02975429213012e-61	0.0158879924359802	9.17690737307318e-70	0.0595804805503121	6.30182669018076e-63	0.604570921455237
gene-mRNA-PB2	1.44398066436508e-69	0.41419702388392	1.01339982252348e-72	0.220461382754658	3.11844284458124e-68	0.841363868625204
gene-vRNA-HA	3.16532715518676e-61	8.23681596202739e-13	2.75540263450903e-45	0.0837466509311134	2.09689818153203e-49	5.12124966492024e-07
gene-vRNA-MP	1.87115916255832e-57	0.00021797027467913	3.01854262151979e-46	0.673607597140509	5.78553553338094e-48	0.00220196424141142
gene-vRNA-NA	1.19122589412195e-51	2.66933564971324e-07	4.4111864189825e-39	0.188620348605315	1.43425001278788e-42	0.000493006826019906
gene-vRNA-NP	1.62078900529714e-60	1.67299550873175e-07	1.50698254477338e-45	0.783580604951251	6.40812771657659e-45	2.93209008687407e-08
gene-vRNA-NS1	1.5392720514454e-55	1.98267319043941e-05	2.26378172552235e-43	0.199827394966106	3.67318535765307e-40	9.01757699984249e-09
gene-vRNA-PA	4.82123198291594e-64	4.82790868405839e-31	4.36835543186905e-40	0.00270043557056204	1.85848025559793e-46	1.03210095641885e-15
gene-vRNA-PB1	6.0615212593522e-67	1.3822735170233e-28	1.06235398348726e-36	0.311457419305542	8.91065244317777e-40	2.19059413777731e-22
gene-vRNA-PB2	6.08096564628461e-55	7.75491239903946e-13	1.42909313625686e-38	0.147769629021791	1.36087012956664e-35	3.81357270409091e-19
