"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000220323",106.534752366564,2.81964891426704,0.27672168477279,1.33916117963143e-25,2.1030187164932e-21
"ENSG00000261716",196.933114425592,3.00778308938479,0.301126087766063,1.33545052926999e-24,1.0485957555828e-20
"ENSG00000083844",131.426388615059,3.132670412837,0.331020303162075,2.13070087859423e-22,1.11535088658146e-18
"ENSG00000118160",49.0081828615295,3.83215021395366,0.410291042921989,7.12683187387624e-22,2.79799419368381e-18
"ENSG00000260368",67.5090324010111,4.83608561963339,0.534653547915019,3.40929908647378e-21,1.07079265707968e-17
"ENSG00000179598",37.6013251934483,3.11143280428529,0.339666022457204,5.26207769473952e-21,1.37726113530316e-17
"ENSG00000196378",109.622298252391,3.0965705225201,0.343011746306649,1.40321697156258e-20,2.75451491517734e-17
"ENSG00000170836",243.58403776201,2.51039207836304,0.277050951500814,1.25135308159763e-20,2.75451491517734e-17
"ENSG00000198590",44.9443654212259,3.89298013583061,0.443296571162407,4.6149753098644e-20,7.24735722661106e-17
"ENSG00000171747",58.2741829100421,3.68680858539461,0.416381595415383,4.25510081127775e-20,7.24735722661106e-17
"ENSG00000172748",61.2607871374617,3.52831952157625,0.400262268468437,5.20398041254512e-20,7.42939167260078e-17
"ENSG00000137494",101.226511817008,3.1668258545714,0.35864554665632,6.73565147644348e-20,8.8147225655057e-17
"ENSG00000244005",144.565768647474,2.76920807392821,0.314969599948213,1.23985984581037e-19,1.49775069373892e-16
"ENSG00000268403",63.8669792679548,3.60874539133421,0.415841248000785,4.04071003234563e-19,3.96595689674724e-16
"ENSG00000261556",72.7026447621145,3.30647928454654,0.382520214382368,3.82807597373482e-19,3.96595689674724e-16
"ENSG00000121417",83.3854806848869,3.27210739406252,0.376390665339343,3.6526180974727e-19,3.96595689674724e-16
"ENSG00000072778",362.48511411124,-2.08275223287084,0.237233717265432,4.58406902522813e-19,4.23460117483427e-16
"ENSG00000278346",52.2649112156746,6.46668963024119,0.756369271862965,8.47975065682973e-19,7.39811135082523e-16
"ENSG00000205085",82.4223804421557,3.58628077345974,0.422542862094421,9.06204918889999e-19,7.49002212960449e-16
"ENSG00000116005",210.416126060987,-2.79908375771395,0.324833441482731,1.26857087425823e-18,9.96081850467564e-16
"ENSG00000213762",111.561684773734,2.87805412051958,0.339924680607617,1.94879713795486e-18,1.45732905973539e-15
"ENSG00000198042",304.760790824988,1.82022780273776,0.213231220137768,2.23891849679559e-18,1.59818073062172e-15
"ENSG00000177576",146.884317662081,3.96343999248193,0.472598422589726,2.54764087482616e-18,1.73948488253348e-15
"ENSG00000213741",507.578851130013,2.18424030428222,0.258259794748295,3.48034107379055e-18,2.27730317595028e-15
"ENSG00000264943",48.336271871386,5.17953623981691,0.614582570764576,4.31925129576296e-18,2.71318089394646e-15
"ENSG00000137337",205.051657898318,1.75007418483205,0.207717386115145,6.48145011604142e-18,3.91479587008902e-15
"ENSG00000246203",41.4691640713319,4.15702954313232,0.504793962525237,1.16146420919843e-17,6.75541997824156e-15
"ENSG00000164631",154.69724932695,1.96680673324711,0.236897366432912,1.30124388136156e-17,7.29811925460784e-15
"ENSG00000160752",244.116677806213,-2.38057416067349,0.286897951823463,2.63947596071885e-17,1.39911418710332e-14
"ENSG00000261351",49.7545600566356,3.71042706557715,0.455589219626294,2.67278563506747e-17,1.39911418710332e-14
"ENSG00000285967",79.6042080468439,2.75151181563173,0.337274657978718,3.22111512232217e-17,1.63175457680476e-14
"ENSG00000167508",87.479444675606,-2.44624239085878,0.296594596872658,4.35743490879629e-17,2.13841118149178e-14
"ENSG00000246067",142.358612837314,3.6613442278215,0.455251199842127,4.60500388656503e-17,2.19142366771567e-14
"ENSG00000079459",356.347897132809,-2.05187871722722,0.25089585162295,6.73135990263662e-17,3.10909635032369e-14
"ENSG00000205890",85.1585665194414,4.84707037472957,0.611766369141714,6.97651996740705e-17,3.13026484480458e-14
"ENSG00000102699",238.32717530825,-1.56220940979101,0.191009924393313,8.38267177336598e-17,3.65670770913721e-14
"ENSG00000182768",294.753780693477,2.6479738676696,0.329423610914635,8.82694576899084e-17,3.74644206368195e-14
"ENSG00000185561",202.858558636077,3.57364602330154,0.448097037512661,9.37047130062894e-17,3.87247056065992e-14
"ENSG00000015153",140.459695455104,2.32259760908456,0.288925506331171,1.02105880115635e-16,4.11146343932292e-14
"ENSG00000140307",232.750102753267,2.31717668398604,0.28823111886225,1.07051020131409e-16,4.20282305035912e-14
"ENSG00000143322",375.140099369284,2.07971581943765,0.258336352764503,1.10072685077329e-16,4.2160523084253e-14
"ENSG00000130783",105.175570936746,4.11403993415251,0.521591629523991,1.25975704766348e-16,4.7102915896446e-14
"ENSG00000169710",1938.74027218915,-2.22029620628181,0.277318790751404,1.5440938644579e-16,5.63917442963882e-14
"ENSG00000279738",131.984098148071,3.31839237780522,0.42018202427101,1.64673521716279e-16,5.87734769325554e-14
"ENSG00000179841",62.9767250104489,3.80867375944186,0.483889057209162,1.95038191356271e-16,6.80639946013086e-14
"ENSG00000279544",37.7880746063533,4.94200648261114,0.623691777939475,2.11670022245556e-16,7.07248091349833e-14
"ENSG00000105929",58.1122145275109,4.89607317081897,0.629161010262265,2.0854236540643e-16,7.07248091349833e-14
"ENSG00000164548",331.415338010113,1.80891999640989,0.226222153972986,2.18586761765858e-16,7.15143022243964e-14
"ENSG00000168522",158.651641168166,2.0354556662093,0.255898102239812,2.33075658200002e-16,7.46983701300577e-14
"ENSG00000266490",49.8939377953673,3.61037324315606,0.461240307927618,2.42041017055804e-16,7.6020242636887e-14
"ENSG00000244879",531.650831628934,2.82730272178617,0.35829355005109,2.73326864959274e-16,8.41632370062833e-14
"ENSG00000177697",296.374982834946,-2.13616349598594,0.2687475490664,2.86648532217591e-16,8.65678567297126e-14
"ENSG00000083828",81.9528168148576,3.2631850725467,0.416562493166164,3.20392012799855e-16,9.49327579058287e-14
"ENSG00000033030",371.99873382457,2.52173308928923,0.320029480451707,3.35369856443476e-16,9.75305226960804e-14
"ENSG00000176401",70.6777865504803,3.1188386169793,0.399812437294205,3.62100500168902e-16,1.03389568266408e-13
"ENSG00000273015",62.2615559757563,3.04040905421871,0.389762795723029,4.04645386227007e-16,1.13474127594802e-13
"ENSG00000156042",67.3848306123401,4.15763223362001,0.537205572950489,4.20102219685595e-16,1.15741846630572e-13
"ENSG00000120885",839.950209194495,-3.0197681474414,0.386970724830781,5.30981416618644e-16,1.43767795975503e-13
"ENSG00000173530",305.810282913833,2.59169908673928,0.332753338876353,6.82262466732386e-16,1.8159745385704e-13
"ENSG00000177731",364.662583883083,-1.590939739361,0.201374227873917,7.93043944460887e-16,2.07566035063563e-13
"ENSG00000166200",220.056715766489,1.54937084720006,0.19738340160295,8.66505818909758e-16,2.23075530822276e-13
"ENSG00000169155",120.118725286716,2.53323433254673,0.331394274664948,1.77077234140317e-15,4.48519497570893e-13
"ENSG00000166866",41.6755464594116,3.95085617699246,0.523785362757498,2.33714879188655e-15,5.82580708377561e-13
"ENSG00000171612",52.3420022319415,2.69220785858895,0.354770351022096,2.43162703497982e-15,5.96660483708173e-13
"ENSG00000184619",36.0464857200747,3.8753049814187,0.510539094177138,2.51168308098635e-15,6.06822632366303e-13
"ENSG00000099942",273.246218431182,1.55402749967109,0.201623934783007,2.61824540279119e-15,6.22983724324739e-13
"ENSG00000279443",122.611651786139,3.05192452582503,0.40497957493264,2.70595886446369e-15,6.34244447873699e-13
"ENSG00000133131",436.495228146268,-2.17611218225631,0.282920760961788,2.97447242433921e-15,6.86928161056219e-13
"ENSG00000180198",345.643212525107,1.67142502751213,0.217939608999022,3.34414923579121e-15,7.61108979693698e-13
"ENSG00000224635",56.3091684615219,3.71256111083277,0.4937537347182,3.56922373146994e-15,8.00729849700057e-13
"ENSG00000189042",110.153417716311,2.49041742564882,0.329836028784724,3.92344749261627e-15,8.67800273578111e-13
"ENSG00000078618",293.149173579882,-1.20845919042263,0.156330965161208,4.59559155058009e-15,9.97292126507605e-13
"ENSG00000177238",128.319474164263,4.26393576842844,0.574915065299504,4.63590965582369e-15,9.97292126507605e-13
"ENSG00000174738",187.413115808784,2.1733466293235,0.287687463213988,4.75425135180375e-15,1.00892923282062e-12
"ENSG00000023608",103.748399668511,3.34547788990462,0.447137139918018,4.89250418299678e-15,1.02442514253042e-12
"ENSG00000232611",69.3553553440244,4.53842452120244,0.610358344511007,5.16101794950313e-15,1.05257955687009e-12
"ENSG00000127314",239.856541715997,2.2434419902158,0.297131763382499,5.15619297015235e-15,1.05257955687009e-12
"ENSG00000111667",184.748591338947,-1.6735902684386,0.219023871358599,5.48099390367078e-15,1.10350677260572e-12
"ENSG00000231416",51.9517396703772,4.6844889023313,0.633726438778344,6.15397048940343e-15,1.22331585526065e-12
"ENSG00000136286",60.8563569666244,3.93314337476047,0.534349061493697,7.53899789780581e-15,1.47990528733928e-12
