"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-PB2",694193.89572442,-26.4846442349862,4.54003622881003,1.02684441355486e-76,1.6444913283081e-72
"gene-PB1",547057.309433529,-23.1156163262189,1.4730845391699,1.4377755951972e-73,1.15129880785416e-69
"gene-PA",306223.678110721,-24.9288007621725,4.41015277729186,6.66693316036611e-69,3.55903115210878e-65
"ENSG00000185745",1769.81351667976,-7.18106222877034,0.420192288425486,1.22556719621753e-66,4.90686466185595e-63
"gene-HA",184868.02546634,-24.2545323850632,4.36551362312992,4.07567646114049e-63,1.3054391705033e-59
"gene-N1",104981.327926469,-23.7220202652373,4.31167213950236,7.69426627872711e-63,2.05372790756358e-59
"gene-M1",63579.592706392,-23.3390683119892,4.27707051404603,1.23682784421016e-61,2.82968541786081e-58
"gene-NS1",70682.7655313739,-23.2184830362967,4.27046547434533,4.59686183342953e-60,9.20234278279674e-57
"gene-NP",167676.558969604,-20.5633366420438,1.47547422004163,2.7185177834262e-58,4.83745136684118e-55
"ENSG00000157601",1291.28000303299,-9.02808010799219,0.614231261683205,1.15678882094591e-48,1.85259729674487e-45
"ENSG00000261716",196.933114425592,-4.22804510382297,0.301918764585332,7.6677575137563e-46,1.11635578711643e-42
"ENSG00000220323",106.534752366564,-3.8016943770607,0.272664264965834,3.99129977982456e-45,5.32672216449086e-42
"ENSG00000100918",94.8886130608923,-5.57103499445892,0.4125633766323,5.96842592626784e-42,7.35264163147535e-39
"ENSG00000135114",737.185125881703,-8.27630385701886,0.624860670337303,1.16100664830708e-40,1.32810867661699e-37
"ENSG00000185507",288.593152601443,-5.38899674970132,0.409367014787596,2.84671463913718e-40,3.0393423297188e-37
"ENSG00000122257",631.733442437874,-2.58079973393681,0.198623804827495,1.71271460903187e-39,1.71432027897783e-36
"ENSG00000185880",157.209044297414,-3.65404283567727,0.28466251869747,7.23357984444833e-39,6.81445771816706e-36
"ENSG00000171931",91.8007825446266,-5.03632604390968,0.393000891946008,8.84318972354835e-39,7.86798241236815e-36
"ENSG00000130589",700.610065648011,-3.38498442263838,0.266669801280876,7.46269219642932e-38,6.29026397504292e-35
"ENSG00000147166",116.568784683083,-5.76687108413831,0.462603919505407,9.41335203609926e-37,7.53774164290648e-34
"ENSG00000279738",131.984098148071,-5.52805955028943,0.446302101277915,1.28615084971561e-36,9.80843136104545e-34
"ENSG00000196378",109.622298252391,-4.26686332718893,0.343507740756474,1.37925658483874e-36,1.00403610028147e-33
"ENSG00000172748",61.2607871374617,-5.1844728205383,0.417344850834389,1.75348817630209e-36,1.22096144102078e-33
"ENSG00000177576",146.884317662081,-6.073624497402,0.492536485814715,6.94082710450861e-36,4.63155608661273e-33
"ENSG00000171747",58.2741829100421,-6.17790684778476,0.501610027496003,1.2231792481543e-35,7.83568626367647e-33
"ENSG00000280138",85.3786704370655,-5.22996073824629,0.428804419646355,2.59082627549588e-35,1.59584933854102e-32
"ENSG00000268403",63.8669792679548,-5.16890778383402,0.433022108731011,7.84236252756123e-34,4.65168281032937e-31
"ENSG00000205085",82.4223804421557,-7.20868190088033,0.603302205140375,1.54027689024985e-33,8.80983371333978e-31
"ENSG00000179598",37.6013251934483,-3.82082736554571,0.322560323678475,2.24192385210833e-33,1.23808312039707e-30
"ENSG00000137628",190.520483347101,-3.16677144215229,0.26652019305331,2.39536297107172e-33,1.27872459939046e-30
"ENSG00000214756",85.510984593025,-4.15847993941896,0.356691158209906,1.31583631886637e-32,6.79778020859512e-30
"ENSG00000165923",159.594392082839,-5.31808289988141,0.45691373460772,1.47990320101065e-32,7.20137214084993e-30
"ENSG00000099860",260.69317805163,-4.24146729505303,0.364022952898658,1.48389185543583e-32,7.20137214084993e-30
"ENSG00000260368",67.5090324010111,-6.72717734372434,0.57646987256623,1.93766030338048e-32,9.12694992901128e-30
"ENSG00000256525",569.074187418114,-4.88620830601635,0.420594202121398,2.32893682547762e-32,1.0656549502864e-29
"ENSG00000261556",72.7026447621145,-4.41003950015982,0.381044769534567,3.77612256801897e-32,1.67985008130066e-29
"ENSG00000086730",78.2373463822159,-6.21417085995829,0.53814326569376,5.67073642991348e-32,2.45450929527201e-29
"ENSG00000198590",44.9443654212259,-5.07365692272336,0.440592031222861,1.00474575096209e-31,4.23447452675205e-29
"ENSG00000105523",131.735818043021,-7.84469948071216,0.676611216561904,1.42304475999449e-31,5.84360559777223e-29
"ENSG00000120738",361.694500919916,-6.42006582565461,0.566331804635213,4.19126265734262e-31,1.67807678643355e-28
"ENSG00000170836",243.58403776201,-3.10717533805409,0.273399859566851,5.79478801892372e-31,2.26350073470886e-28
"ENSG00000119917",1425.77944078261,-6.14274919335151,0.544092960690941,9.34623826234686e-31,3.56380966122583e-28
"ENSG00000130783",105.175570936746,-7.0807397822265,0.626812484032486,1.04412718836305e-30,3.88876672596146e-28
"ENSG00000213928",55.9740405541554,-4.30257973881474,0.380059036874469,1.3162138067016e-30,4.79071911689231e-28
"ENSG00000285646",126.585544670109,-6.11917090252461,0.545204338340256,2.27855627825656e-30,8.10912862139528e-28
"ENSG00000261351",49.7545600566356,-5.55549980651498,0.497928069532111,2.53564733481252e-30,8.82791131891792e-28
"ENSG00000245025",63.9418999375696,-4.27803765511576,0.384134144605698,4.74030735315699e-30,1.61523451618743e-27
"ENSG00000279443",122.611651786139,-4.56813780960855,0.410941078626469,8.08285571524398e-30,2.69681113082567e-27
"ENSG00000068976",109.586593796702,-7.44410417218269,0.662176576002093,1.03610014743386e-29,3.38635589003127e-27
"ENSG00000087074",2688.22638518284,-4.15690801424801,0.37679199110063,1.89767929959556e-29,6.07826679660456e-27
"ENSG00000115267",660.004029073875,-4.2638366089519,0.388753968656809,3.56285416724069e-29,1.11880606839921e-26
"ENSG00000266490",49.8939377953673,-5.4529393754417,0.49950804787086,5.30316250081523e-29,1.63327206635684e-26
"ENSG00000175197",52.1190628139921,-3.87894841649821,0.353035266683819,5.98829595446937e-29,1.80948225869485e-26
"ENSG00000138035",613.978645897017,-2.3622590869936,0.217012278578908,2.08995366183404e-28,6.19826072116152e-26
"ENSG00000033030",371.99873382457,-3.43021129179301,0.317996574588565,3.53462672269144e-28,1.02921903570734e-25
"ENSG00000212195",61.8148272675408,-5.08776483567311,0.480094296185524,5.42351477888764e-28,1.55102837828367e-25
"ENSG00000246203",41.4691640713319,-6.13486409265285,0.575608771325005,1.3815198026624e-27,3.88158590169094e-25
"ENSG00000156042",67.3848306123401,-5.93054297425081,0.556835150345361,1.70820099017556e-27,4.71669635476925e-25
"ENSG00000185561",202.858558636077,-4.71073493095091,0.444085369403608,2.46903785695145e-27,6.70197309814872e-25
"ENSG00000244879",531.650831628934,-3.74682748582294,0.356234182548754,5.67000811812739e-27,1.5134196668635e-24
"ENSG00000176401",70.6777865504803,-4.13198295428945,0.394559965394305,7.69097257509555e-27,2.01919550475664e-24
"ENSG00000169169",96.4723243438742,-5.19901789168927,0.501726393960147,8.96584307976261e-27,2.30688048846908e-24
"ENSG00000121417",83.3854806848869,-3.84407533270948,0.367954021004965,9.07483426622244e-27,2.30688048846908e-24
"ENSG00000184988",86.0723481066085,-4.51992471073937,0.437614131234245,2.68069297856391e-26,6.70801532057829e-24
"ENSG00000279602",89.2960649309118,-5.17468462430162,0.504588306790205,3.84037525025819e-26,9.4620937896746e-24
"ENSG00000198576",149.815032319361,-7.10386605363328,0.681502285970733,4.82825123667656e-26,1.17158247811174e-23
"ENSG00000138496",400.442426565898,-3.07504134944456,0.297291883820849,6.11016779370252e-26,1.46051249576337e-23
"ENSG00000262202",179.503456449738,-5.7819729367495,0.569214332182224,6.73593525874471e-26,1.58641181130583e-23
"ENSG00000158023",88.1340956244043,-6.54022099944132,0.63401033856792,6.88551570234244e-26,1.59813817352194e-23
"ENSG00000264943",48.336271871386,-6.95422657409406,0.665362656648782,7.97732105199104e-26,1.82509709496624e-23
"ENSG00000170581",492.562899402885,-2.38220017416268,0.230825879638898,8.18131300069693e-26,1.84540461557974e-23
"ENSG00000175592",194.609964658249,-3.17968831686319,0.310793721217837,1.33040071160444e-25,2.94643358989637e-23
"ENSG00000198393",161.811605987839,-3.75855998221624,0.367848898022912,1.34305121487627e-25,2.94643358989637e-23
"ENSG00000245556",56.0917393357899,-3.34166786500985,0.328200790078455,1.88185156533407e-25,4.07268281335474e-23
"ENSG00000171612",52.3420022319415,-3.49948509056814,0.34447787625081,2.20141908487048e-25,4.6648632035784e-23
"ENSG00000104856",138.566957131199,-3.27531002235174,0.323322755111063,2.21373464546961e-25,4.6648632035784e-23
"ENSG00000198042",304.760790824988,-2.14490915346433,0.209776729559328,2.5865348816077e-25,5.37965664012302e-23
"ENSG00000279696",65.9258351385306,-4.76445687362205,0.472070980871292,2.80485049931826e-25,5.75893342904897e-23
"ENSG00000083844",131.426388615059,-3.2283124287104,0.319768228748701,4.78771172072601e-25,9.70572192499076e-23
"ENSG00000131471",41.7899350917148,-4.62290683568157,0.457091749690583,4.88098895751963e-25,9.77112976933462e-23
"ENSG00000126709",568.083863667034,-5.4061119029574,0.536832148013924,5.01444570083235e-25,9.91436393812716e-23
"ENSG00000244945",118.282712479057,-8.90513694653976,0.866260724533121,5.46172969005124e-25,1.06670245105086e-22
"ENSG00000079459",356.347897132809,2.54028034478134,0.24877115372626,5.55387547871826e-25,1.07163031074305e-22
"ENSG00000143322",375.140099369284,-2.57720316719398,0.255254243430763,7.71921703546158e-25,1.47170548598711e-22
"ENSG00000232611",69.3553553440244,-6.6426460019313,0.664414729219473,1.03984672885378e-24,1.9591935720698e-22
