"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000185745",1769.81351667976,-8.75393469453184,0.418812912509625,2.94454138204267e-98,4.71568302334133e-94
"ENSG00000185507",288.593152601443,-7.90343563813808,0.397782168623784,2.41842622087131e-88,1.93655479636271e-84
"ENSG00000130589",700.610065648011,-5.03571508444605,0.26196608562899,1.23366495625176e-83,6.58571475812399e-80
"ENSG00000138646",520.776064099889,-6.70747299439712,0.359205663349238,1.68794960393196e-79,6.75812822674257e-76
"ENSG00000137628",190.520483347101,-4.69799341919271,0.250546864515049,7.08033584369301e-79,2.26783157073487e-75
"ENSG00000115267",660.004029073875,-7.05224723026927,0.381854104039861,9.82133213310237e-78,2.62147723519391e-74
"gene-PB2",694193.89572442,-25.7771419973926,4.48415935601191,1.2890784294411e-72,2.9492272924999e-69
"gene-PA",306223.678110721,-25.0181777818674,4.42009038145758,2.15574200540876e-69,4.31552602707766e-66
"ENSG00000135114",737.185125881703,-10.8616433201227,0.622110891657579,8.56043475645804e-69,1.52328180694084e-65
"ENSG00000157601",1291.28000303299,-10.5091017882064,0.612981468636882,3.25418369207879e-65,5.21157518286419e-62
"gene-PB1",547057.309433529,-21.4849166577454,1.46878420599737,7.1197302896694e-64,1.03656800535505e-60
"ENSG00000087074",2688.22638518284,-6.15699406164023,0.374882485538715,6.85198369892134e-62,9.14454324485211e-59
"gene-HA",184868.02546634,-23.8438922980726,4.33191295575611,5.54725064724448e-61,6.83378608581695e-58
"ENSG00000119917",1425.77944078261,-8.55660441411521,0.540837592350701,1.12953215213729e-57,1.29210410117705e-54
"ENSG00000118503",364.448416874446,-6.39155353022941,0.408468333718349,1.73989582913127e-56,1.85762878023582e-53
"gene-N1",104981.327926469,-22.4212522312296,4.20291301532518,4.17154345117102e-56,4.17545427315649e-53
"ENSG00000171522",81.5482431923681,-5.04761183396578,0.321142978204388,7.82908986978392e-56,7.05613076545622e-53
"ENSG00000140853",188.549431532886,-4.76448734141013,0.304967487015554,7.93071206857396e-56,7.05613076545622e-53
"ENSG00000163734",69.14927375144,-4.10283801168107,0.26824278090981,6.23722126048342e-54,5.25732097298116e-51
"ENSG00000107201",1050.02677734887,-5.33301733094294,0.349395968839568,6.99106257319644e-54,5.59809335548705e-51
"gene-NP",167676.558969604,-19.6938402769225,1.47281099168311,1.12362530371617e-53,8.5689805900069e-51
"gene-NS1",70682.7655313739,-21.8804451510197,4.15714641873965,2.52655992072525e-53,1.83922077865522e-50
"ENSG00000130787",307.64062894558,-4.42661631724786,0.293955323523242,2.16771943404727e-52,1.50939246679422e-49
"gene-M1",63579.592706392,-21.2272153696962,4.09674027761449,5.75963863430962e-51,3.84335886368619e-48
"ENSG00000170581",492.562899402885,-3.27140274859887,0.226111833658271,1.81920875713317e-48,1.16538512981951e-45
"ENSG00000100906",848.85849406332,-4.16974321959835,0.29604642843924,3.23127613959202e-46,1.99034182213716e-43
"ENSG00000105939",1802.97368353923,-3.76591473061944,0.268593766324831,1.20002389829302e-45,7.11791953006024e-43
"ENSG00000119922",3255.43611637509,-10.2597545125543,0.749086136672244,5.66432629016561e-44,3.23979234060723e-41
"ENSG00000124201",888.278969814182,-3.30616318911809,0.241015619026956,8.47935443578601e-44,4.68265038927976e-41
"ENSG00000107968",178.527890404478,-3.84546482089814,0.283400695998683,4.83081033127474e-43,2.5788475818455e-40
"ENSG00000138642",122.886932877512,-3.29802326789212,0.24322133766056,7.20458565057179e-43,3.72198190948088e-40
"ENSG00000138496",400.442426565898,-3.9595771978217,0.29316491777085,1.2368952162858e-42,6.19027402775532e-40
"ENSG00000141682",345.553684416114,-4.59845408293977,0.342220169796089,2.13436607157696e-42,1.03581432231227e-39
"ENSG00000172183",204.026655490339,-5.65662936119224,0.426077017032804,2.06652444502403e-41,9.73393793737052e-39
"ENSG00000126709",568.083863667034,-7.03651427791485,0.532829827026816,3.99809037957109e-41,1.82941192653803e-38
"ENSG00000125347",424.830235505183,-4.68688868389626,0.354828971832409,5.64633198906669e-41,2.51183352235842e-38
"ENSG00000214756",85.510984593025,-4.61285087165685,0.34954052827048,6.08507267024558e-41,2.63384969767522e-38
"ENSG00000198576",149.815032319361,-8.93479154284834,0.6744096282325,1.68696191481812e-40,7.10965659626638e-38
"ENSG00000163644",124.487005957242,-5.27940636645987,0.408701774817985,1.53211556865061e-39,6.2914950851127e-37
"ENSG00000271503",761.353366868127,-12.6150737610193,0.970968410677006,1.68184895984683e-39,6.73370277298676e-37
"ENSG00000068079",221.992245065912,-3.57330347749168,0.276842790363828,3.35223955214472e-39,1.30941747384385e-36
"ENSG00000105287",306.908644922497,-2.2867943093491,0.176836147726707,4.84082957855002e-39,1.84585442143997e-36
"ENSG00000285646",126.585544670109,-6.94066323032374,0.539858074879968,6.26770557270906e-39,2.33435592434734e-36
"ENSG00000059728",253.281244606234,-5.40759631767404,0.424268063673678,1.22501512334353e-38,4.45877663644241e-36
"ENSG00000135899",224.952669056066,-3.8688721908893,0.303221418786371,3.47952324605929e-38,1.2383236619031e-35
"ENSG00000147166",116.568784683083,-5.85274942717025,0.460085495565298,4.42087207933236e-38,1.53913622501104e-35
"ENSG00000163132",60.1747684724189,-5.51986036767566,0.433769995852238,4.98781220116488e-38,1.69957047663097e-35
"ENSG00000105559",268.055379794724,-9.86461276112527,0.786738435034137,4.80879765505602e-37,1.60443530095254e-34
"ENSG00000279443",122.611651786139,-5.07728194340551,0.406037109355744,5.92459792493585e-37,1.93637624016015e-34
"ENSG00000167604",119.082479393514,-5.24012734376033,0.421289655124164,1.1055605600448e-36,3.54111047382349e-34
"ENSG00000117036",255.508224917437,-2.83441342059004,0.22725048263607,1.22336470663272e-36,3.8416050542594e-34
"ENSG00000099860",260.69317805163,-4.49773186138151,0.361921199495256,1.28228485320419e-36,3.94919075462791e-34
"ENSG00000185338",74.0498611686467,-7.13868579408827,0.578852026961308,2.97355248492726e-36,8.98517793322832e-34
"ENSG00000205413",587.765794926322,-4.88266090451147,0.397197510674978,6.20140883382527e-36,1.83917708284651e-33
"ENSG00000136826",284.558761064007,-5.33047483604812,0.433992829808373,8.417027333383e-36,2.45088532262052e-33
"ENSG00000184557",211.404523461077,-3.81576288995725,0.312871962818992,1.97547981270547e-35,5.64951950008536e-33
"ENSG00000245848",72.2769124220867,-3.63985482579747,0.298154865799454,3.33963956283079e-35,9.38321536819914e-33
"ENSG00000168016",324.627799928882,-4.11031019166019,0.341858512382124,2.05935125486204e-34,5.6862948873475e-32
"ENSG00000287001",1857.68283510031,-10.3468757293177,0.869143933826558,4.49785113203486e-34,1.22089976067014e-31
"ENSG00000181381",472.032152556351,-4.15671047255218,0.349450137392845,1.13508545841368e-33,3.02973226941585e-31
"ENSG00000120738",361.694500919916,-6.67565238759913,0.565171504270245,1.52664082358601e-33,4.00805783438197e-31
"ENSG00000100918",94.8886130608923,-4.85878741833359,0.414678114655621,3.39991222776444e-32,8.78219263349155e-30
"ENSG00000279738",131.984098148071,-5.13870490128555,0.446243133470224,5.47229056447229e-32,1.39109100619085e-29
"ENSG00000105523",131.735818043021,-7.89421084411704,0.676160589806317,6.10093645488852e-32,1.52666402070374e-29
"ENSG00000104856",138.566957131199,-3.65362915269403,0.318548727791275,8.0445515089845e-32,1.98205372948287e-29
"ENSG00000056558",71.0239044765378,-4.86293078939122,0.426262011158941,1.7807405090674e-31,4.32099382616884e-29
"ENSG00000187608",253.522028670706,-6.81896978319848,0.600957481605071,7.10566386513426e-31,1.6984657731362e-28
"ENSG00000205085",82.4223804421557,-6.8437918921136,0.603012929003661,1.80136157901085e-30,4.24247142468512e-28
"ENSG00000111331",1416.21070045843,-3.33752103941706,0.296670680140091,2.00072095741377e-30,4.64370233811325e-28
"ENSG00000067066",375.092041842991,-2.75319618391137,0.244372583369696,2.26720370528063e-30,5.18703819143847e-28
"ENSG00000164442",149.225725353521,-4.03515794503753,0.361579331728485,3.06115064998524e-30,6.90483488162165e-28
"ENSG00000198435",62.0256125623088,-4.03759729065282,0.360652324346144,3.19326842886677e-30,7.10280470670851e-28
"ENSG00000112773",309.056799209362,-3.6480740883833,0.327995348169852,7.67276277657729e-30,1.68327802557377e-27
"ENSG00000108551",61.9775043836779,-6.78597202709327,0.617886428853545,8.04402336947156e-30,1.74087884137955e-27
"ENSG00000152778",251.50351015462,-2.82818416501269,0.25404489054337,1.05074187489798e-29,2.24368415019882e-27
"ENSG00000165949",145.797535842323,-8.17540277110716,0.734088667980368,2.28167169063102e-29,4.80802264808629e-27
"ENSG00000262202",179.503456449738,-6.15640456003013,0.567088625524465,3.3406417631228e-29,6.94810101771579e-27
"ENSG00000130783",105.175570936746,-6.86095010738151,0.625797929448098,5.0371485866538e-29,1.03422993096488e-26
"ENSG00000267270",65.5316063254445,-7.31446861918999,0.672294008675197,5.92966213533991e-29,1.20207011515783e-26
"ENSG00000173193",1336.77762945006,-4.07507070850523,0.372602053153632,6.24712050431598e-29,1.25059543595775e-26
"ENSG00000168062",104.102418120327,-6.06186741555119,0.556761851423159,8.93206000081701e-29,1.76601161621092e-26
"ENSG00000134326",173.013041469093,-8.82656404781125,0.805031586166707,1.74251566879704e-28,3.40321810192494e-26
"ENSG00000197989",96.7550996651716,-3.60113737441949,0.334226368852625,3.97244317610817e-28,7.66490089944245e-26
"ENSG00000204642",79.6671767258569,-5.20239068261374,0.483833281636042,4.25551706831035e-28,8.11334593440361e-26
"ENSG00000185880",157.209044297414,-3.07471318605537,0.285824723781768,5.59611355502771e-28,1.05437363039728e-25
"ENSG00000138035",613.978645897017,-2.33009263902431,0.215933500421651,6.59925138463035e-28,1.22891873168436e-25
"ENSG00000162783",479.645276351547,-3.60215210199706,0.336122356322387,7.79893257466794e-28,1.435631094061e-25
"ENSG00000125730",242.519860921547,-4.36091177244051,0.409275862254974,9.89580895402039e-28,1.80092477725723e-25
"ENSG00000197110",321.080653065587,-15.6911255191686,3.59135999472517,1.03546756268233e-27,1.86325988947837e-25
"ENSG00000183765",90.0587022077327,-2.80773437801126,0.262472751311052,1.21679186614116e-27,2.16521352625008e-25
"ENSG00000105327",95.5628684967288,-4.0215233958872,0.377229733733975,1.35070409260092e-27,2.37709077395645e-25
"ENSG00000183709",310.348614625077,-15.642157173063,3.58519404328775,1.37857345716737e-27,2.39976673005819e-25
"ENSG00000182759",64.3400263742471,-7.90857387968341,0.751326975757029,1.47175140265901e-27,2.53441921651441e-25
"ENSG00000081041",158.390927307154,-4.35391336582499,0.40961514467113,1.49711336319925e-27,2.55066707570596e-25
"ENSG00000130813",143.338913617217,-3.35771952909994,0.31525663993344,1.83960499620457e-27,3.10118673833855e-25
"ENSG00000101347",338.860791674922,-3.23697504600884,0.304802657593222,2.56091226266555e-27,4.272188529853e-25
"ENSG00000177606",235.190598716497,-3.33048852328572,0.314168405307459,2.75004012250646e-27,4.54040129504545e-25
"ENSG00000234745",330.67200777163,-4.76069925130704,0.45094172209368,3.08067700863581e-27,5.03439207074515e-25
"ENSG00000138650",44.5731228122783,-5.50409871642861,0.518016249174533,5.4569715378299e-27,8.82761607862079e-25
"ENSG00000198369",223.213583794661,-1.97874195449719,0.186515599242471,5.67073628198727e-27,9.08168415560261e-25
"ENSG00000068976",109.586593796702,-7.05342366791677,0.662296829170437,6.40711889226726e-27,1.01594068375901e-24
"ENSG00000245025",63.9418999375696,-4.0038577610904,0.382980914132587,9.74465985053541e-27,1.53000713241495e-24
"ENSG00000111335",514.07058717988,-11.7593345546966,1.09300161867296,9.91749310724798e-27,1.54202574866579e-24
"ENSG00000124216",70.3051010750003,-5.50570503406746,0.528888506441203,1.3829302107141e-26,2.129579550441e-24
"ENSG00000086730",78.2373463822159,-5.61281908754086,0.539552565556293,2.02808943873388e-26,3.09331927250696e-24
"ENSG00000212195",61.8148272675408,-4.8979364669753,0.479039841746001,2.83720500638661e-26,4.28658850729071e-24
"ENSG00000171931",91.8007825446266,-4.08842117605294,0.397473274774505,6.56483398704529e-26,9.82577722453554e-24
"ENSG00000256525",569.074187418114,-4.30874542731891,0.421290509376312,1.09149166712083e-25,1.61854065267964e-23
"ENSG00000213928",55.9740405541554,-3.91130717019453,0.379883202449665,1.14067388249451e-25,1.67595341542657e-23
"ENSG00000269821",171.105970846196,-2.90693787073124,0.283212063933201,1.16158294131306e-25,1.69115916410261e-23
"ENSG00000143384",918.575820058525,-2.21026367840429,0.214565451731453,1.26098224772437e-25,1.80888546913222e-23
"ENSG00000108771",111.903653455307,-8.99303429113135,0.861332811873701,1.2650338591496e-25,1.80888546913222e-23
"ENSG00000137965",127.031063569282,-8.7896440223078,0.850341444457598,1.41731376328938e-25,2.00869733797162e-23
"ENSG00000059378",165.511921817585,-3.6692474711565,0.359606765897959,1.7278944244965e-25,2.42738852704486e-23
"ENSG00000188613",28.8363758447809,-5.28614942477497,0.521179352659375,2.26153156622081e-25,3.14942852461098e-23
"ENSG00000177409",240.215450511033,-5.70096949772188,0.562729946243736,2.70649632848988e-25,3.73659816385909e-23
"ENSG00000121966",31.6528951538149,-4.91266236290083,0.489019738486043,3.2309216403603e-25,4.42249658721113e-23
"ENSG00000174804",95.6458449553042,-4.69459117206647,0.467437753105037,6.86629993160737e-25,9.31896554277051e-23
"ENSG00000188290",43.331912921236,-4.39260869207429,0.438039448458702,7.32425169068779e-25,9.85696561566093e-23
"ENSG00000011422",294.904516415466,-4.59183296196223,0.458879622323663,8.43819082068704e-25,1.12614688327752e-22
"ENSG00000149781",66.3037983485335,-6.12788858940896,0.611580684788642,1.26156725860727e-24,1.66975203690871e-22
"ENSG00000196378",109.622298252391,-3.46365210447393,0.346531902102207,1.42937086617373e-24,1.87634216571904e-22
"ENSG00000100226",132.758879279035,-2.40587286825903,0.240009848861064,1.83858178825081e-24,2.39389327958022e-22
"ENSG00000129757",32.1849899667762,-6.50830272052327,0.646398365497087,2.86072627197131e-24,3.69472026174359e-22
"ENSG00000151014",104.761226731876,-3.484235750765,0.350120093833871,3.08689917169975e-24,3.95493521878172e-22
"ENSG00000267519",340.672022419002,-3.67901331470482,0.37111888930629,3.20234070141998e-24,4.07027669311436e-22
"ENSG00000172216",171.122922426135,-2.31844661221751,0.233285628321098,4.09031411006098e-24,5.15798271438005e-22
"ENSG00000171747",58.2741829100421,-5.04910035184307,0.508003722152532,4.43816859276323e-24,5.55291171977368e-22
