"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000185745",1769.81351667976,-8.40987552130392,0.41886218300126,5.74105812158173e-91,8.65923796478172e-87
"ENSG00000130589",700.610065648011,-4.6886870261643,0.261735325470517,3.51540455868664e-73,2.65114234793353e-69
"gene-PB2",694193.89572442,-25.5717401438476,4.46240887116977,1.78846408848271e-71,8.99180128219493e-68
"gene-PB1",547057.309433529,-21.8801561348497,1.46965519746839,3.6581030283916e-66,1.37937919943076e-62
"ENSG00000137628",190.520483347101,-4.22067199624393,0.249552992882334,7.38256625918921e-65,2.22702493774702e-61
"gene-PA",306223.678110721,-24.1555105964341,4.34340675896283,1.12814008726962e-64,2.83595615604794e-61
"ENSG00000185507",288.593152601443,-6.64286335660884,0.398600884086727,4.65637477463037e-63,1.00331572465357e-59
"ENSG00000157601",1291.28000303299,-10.2927237302419,0.612449382533026,7.30922397665773e-63,1.37806281549911e-59
"gene-NP",167676.558969604,-21.0496010483835,1.47664951849839,5.76463394365348e-61,9.6608859746806e-58
"gene-HA",184868.02546634,-23.7534336411866,4.31898770255156,1.52642239852251e-60,2.30230290369151e-57
"gene-N1",104981.327926469,-22.8792680158238,4.23584506846326,1.86268137995683e-58,2.55407484126262e-55
"gene-NS1",70682.7655313739,-22.0051762367319,4.160920761342,5.78072941411539e-54,7.26589514609188e-51
"gene-M1",63579.592706392,-21.523867698741,4.11541022956292,1.98073877043476e-52,2.29811406726673e-49
"ENSG00000170581",492.562899402885,-3.3082306232178,0.225094331320335,3.02122291689249e-50,3.25493608967781e-47
"ENSG00000140853",188.549431532886,-4.36786985533108,0.304367910415056,8.49394926694806e-48,8.5409491195585e-45
"ENSG00000138496",400.442426565898,-4.14086807244928,0.291931531714109,5.80718392924562e-47,5.47435970030073e-44
"ENSG00000135899",224.952669056066,-4.21349822052058,0.300363883311993,7.55542042342934e-46,6.70343566156381e-43
"ENSG00000119917",1425.77944078261,-7.54300358225233,0.541918630104262,2.02552939091556e-45,1.69728110017663e-42
"ENSG00000115267",660.004029073875,-5.3226050536964,0.383611734727167,2.70878363488249e-45,2.1503465034175e-42
"ENSG00000135114",737.185125881703,-8.42757219942056,0.623010697339705,2.25200481458264e-42,1.6983494309175e-39
"ENSG00000126709",568.083863667034,-6.86629565057109,0.532885289867831,2.84434263102021e-39,1.96562579812141e-36
"ENSG00000138646",520.776064099889,-4.64479781722063,0.361856456158637,2.86705347468482e-39,1.96562579812141e-36
"ENSG00000107201",1050.02677734887,-4.37014158138177,0.350420675362615,4.30981882878785e-37,2.82630423454813e-34
"ENSG00000138642",122.886932877512,-2.96410626677158,0.241161508609038,4.73949434259982e-36,2.97857471539305e-33
"ENSG00000068079",221.992245065912,-3.27692872054716,0.276319037444104,7.28216620503457e-34,4.39347651482146e-31
"ENSG00000168016",324.627799928882,-4.01932045766193,0.341568090240033,2.60934096608872e-33,1.51371883813523e-30
"ENSG00000205413",587.765794926322,-4.44302390762707,0.397948978497388,2.60597949087789e-30,1.45577735781153e-27
"ENSG00000130813",143.338913617217,-3.47765206743374,0.312303516178384,3.38539211457128e-30,1.82363818800281e-27
"ENSG00000111331",1416.21070045843,-3.31353098861521,0.297273058404879,3.71738803517371e-30,1.93342633567328e-27
"ENSG00000138035",613.978645897017,-2.385603462712,0.215483995063039,9.6670230811096e-30,4.8602569710792e-27
"ENSG00000181381",472.032152556351,-3.87226819933533,0.350060845024359,1.10139471347191e-29,5.35881821396669e-27
"ENSG00000168062",104.102418120327,-6.03113138548223,0.55516268868164,8.66454037745828e-29,4.0839769535376e-26
"ENSG00000119922",3255.43611637509,-8.15650514379186,0.752571716311229,1.05339380795891e-28,4.81464812286187e-26
"ENSG00000152778",251.50351015462,-2.70165561970786,0.253119853992469,6.61784617751757e-28,2.93579334986758e-25
"ENSG00000124201",888.278969814182,-2.56113885747942,0.242282085000373,2.03633048685119e-27,8.77542078090756e-25
"ENSG00000163840",568.685202699975,-3.58849252781607,0.341865723257877,4.48937924094575e-27,1.84034555756429e-24
"ENSG00000105287",306.908644922497,-1.85210985697855,0.176391656319867,4.51453859509903e-27,1.84034555756429e-24
"ENSG00000187608",253.522028670706,-6.2756187105658,0.602146120702764,1.35320713163512e-26,5.37116399117173e-24
"ENSG00000059378",165.511921817585,-3.69109182152079,0.358350977098882,3.56123618729456e-26,1.37728526699907e-23
"ENSG00000067066",375.092041842991,-2.48725117579736,0.244557112827694,1.23067808956203e-25,4.64057940621603e-23
"ENSG00000125347",424.830235505183,-3.61341235888658,0.357093291706206,2.09542427178253e-25,7.7086059247063e-23
"ENSG00000134326",173.013041469093,-8.2133629561775,0.805565870297653,5.0395975666138e-25,1.80981547850562e-22
"ENSG00000111335",514.07058717988,-11.1667447262761,1.09113086171996,2.31803869266136e-24,8.13092502358403e-22
"ENSG00000221963",488.798251222959,-4.03828810474131,0.427505667194132,1.69899880669162e-22,5.82409068212038e-20
"ENSG00000137965",127.031063569282,-8.17299991897003,0.850706874008495,1.87980946934743e-22,6.30070360581496e-20
"ENSG00000165949",145.797535842323,-6.89869739191718,0.736994387881667,1.28652915568021e-21,4.2184172293749e-19
"ENSG00000177409",240.215450511033,-5.14656386544419,0.564949174256455,3.81186730858915e-21,1.22328499181809e-18
