"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000171522",81.5482431923681,-3.81311002714694,0.320709361523647,5.70541454102165e-34,8.42860890145129e-30
"ENSG00000130787",307.64062894558,-3.45021003797982,0.296436112599501,1.03175762320403e-32,7.62107768379658e-29
"ENSG00000198576",149.815032319361,-5.00949311103868,0.456364203671487,8.21795718005519e-30,4.04679604736518e-26
"ENSG00000087074",2688.22638518284,-4.03079964204016,0.374776458189441,2.93267544427812e-28,1.08311035845802e-24
"ENSG00000163734",69.14927375144,-2.69551302741073,0.259262628652709,2.29904013012213e-26,6.79274396845883e-23
"ENSG00000198369",223.213583794661,-1.89844123434552,0.193262763216263,7.58251581644158e-24,1.86694176927152e-20
"ENSG00000157350",151.553692420285,-1.83766359115205,0.188513241086767,1.74139150573635e-23,3.67508238774901e-20
"ENSG00000245848",72.2769124220867,-2.88641363416855,0.309971807427829,6.10833301003052e-22,1.12798004446476e-18
"ENSG00000100906",848.85849406332,-2.74525364946512,0.296815139855052,1.44266556266746e-21,2.36805537303182e-18
"ENSG00000279443",122.611651786139,-3.56047676026797,0.400085911042442,1.93450237972847e-20,2.85784036557286e-17
"ENSG00000118160",49.0081828615295,-3.63015343225335,0.40907236130705,4.27136940463268e-20,5.73644911042169e-17
"ENSG00000182759",64.3400263742471,-4.93653108010208,0.569370920217652,9.12934336632406e-20,1.12389824625588e-16
"ENSG00000214756",85.510984593025,-2.85653366632321,0.332340718714829,3.79149874089845e-19,4.30860083840713e-16
"ENSG00000198435",62.0256125623088,-3.20674835249176,0.372119544465416,4.19109186998294e-19,4.42250001394699e-16
"ENSG00000167780",55.5217874646577,-5.02298117927719,0.593298275789579,4.98490358998454e-19,4.90946538232277e-16
"ENSG00000107968",178.527890404478,-2.41418835714728,0.282143737509777,7.3981498011988e-19,6.83080418831937e-16
"ENSG00000270379",141.193485621317,-5.28614054934435,0.630655088693373,1.23177739686927e-18,1.0704145578794e-15
