gene-vRNA-HA	NGS_D-HA|4|	1	1779	+	1779	122343	39502.042957411235
gene-mRNA-HA	NGS_D-HA|4|	29	1735	-	1707	154987	52152.86006426478
gene-vRNA-MP	NGS_D-M|7|	1	1027	+	1027	65242	36489.94439962035
gene-mRNA-MP	NGS_D-M|7|	26	784	-	759	28868	21846.97441299428
gene-vRNA-NA	NGS_D-NA|6|	1	1398	+	1398	22449	9223.722060567463
gene-mRNA-NA	NGS_D-NA|6|	21	1370	-	1350	57098	24294.25060377398
gene-vRNA-NP	NGS_D-NP|5|	1	1565	+	1565	94009	34504.160905841876
gene-mRNA-NP	NGS_D-NP|5|	46	1542	-	1497	87360	33520.246550601034
gene-vRNA-NS1	NGS_D-NS|8|	1	890	+	890	44876	28962.797780520013
gene-mRNA-NS1	NGS_D-NS|8|	27	719	-	693	43181	35791.16545084132
gene-vRNA-PA	NGS_D-PA|3|	1	2233	+	2233	81831	21049.680806349348
gene-mRNA-PA	NGS_D-PA|3|	25	2175	-	2151	328364	87686.25180934943
gene-vRNA-PB1	NGS_D-PB1|2|	1	2341	+	2341	129615	31803.15675258854
gene-mRNA-PB1	NGS_D-PB1|2|	25	2298	-	2274	309534	78186.9512426226
gene-vRNA-PB2	NGS_D-PB2|1|	1	2341	+	2341	30735	7541.3341263805005
gene-mRNA-PB2	NGS_D-PB2|1|	28	2307	-	2280	495981	124952.96680406563
