gene-vRNA-HA	NGS_Av-HA	1	1779	+	1779	1	0.4954403815263562
gene-mRNA-HA	NGS_Av-HA	29	1735	-	1707	0	0.0
gene-vRNA-MP	NGS_Av-M	1	1027	+	1027	0	0.0
gene-mRNA-MP	NGS_Av-M	26	784	-	759	0	0.0
gene-vRNA-NA	NGS_Av-NA	1	1398	+	1398	0	0.0
gene-mRNA-NA	NGS_Av-NA	21	1370	-	1350	0	0.0
gene-vRNA-NP	NGS_Av-NP	1	1565	+	1565	0	0.0
gene-mRNA-NP	NGS_Av-NP	46	1542	-	1497	0	0.0
gene-vRNA-NS1	NGS_Av-NS	1	875	+	875	0	0.0
gene-mRNA-NS1	NGS_Av-NS	27	704	-	678	0	0.0
gene-vRNA-PA	NGS_Av-PA	1	2233	+	2233	0	0.0
gene-mRNA-PA	NGS_Av-PA	25	2175	-	2151	0	0.0
gene-vRNA-PB1	NGS_Av-PB1	1	2341	+	2341	0	0.0
gene-mRNA-PB1	NGS_Av-PB1	25	2298	-	2274	0	0.0
gene-vRNA-PB2	NGS_Av-PB2	1	2341	+	2341	0	0.0
gene-mRNA-PB2	NGS_Av-PB2	28	2307	-	2280	0	0.0
